!! zhugs nyid	⟨!!⟩་ཞུགས་ཉིད
!!don du	⟨!!don⟩་དུ
!!lcags sgrog ma	⟨!!lcags⟩་སྒྲོག་མ
!!mdog dbyibs can	⟨!!mdog⟩་དབྱིབས་ཅན
!!mid par byed pa	⟨!!mid⟩་པར་བྱེད་པ
!!ming can	⟨!!ming⟩་ཅན
!!mtshon cha can	⟨!!mtshon⟩་ཆ་ཅན
!!ra bcas	⟨!!ra⟩་བཅས
!!rnam pa can	⟨!!rnam⟩་པ་ཅན
!!snod du gyur	⟨!!snod⟩་དུ་གྱུར
!!theg pa pa	⟨!!theg⟩་པ་པ
'am ci	འམ་ཅི
'am kyang rung	འམ་ཀྱང་རུང
'am yang na … 'ang rung	འམ་ཡང་ན་འང་རུང
'am yang na … yang rung	འམ་ཡང་ན་ཡང་རུང
'am … 'ang rung ste	འམ་འང་རུང་སྟེ
'am … yang	འམ་ཡང
'ang mi	འང་མི
'ang … 'ang	འང་འང
'ba' 'dzar	འབའ་འཛར
'ba' cha	འབའ་ཆ
'ba' zhig pa	འབའ་ཞིག་པ
'ba' zhig po	འབའ་ཞིག་པོ
'ba' zhig tu ma zad	འབའ་ཞིག་ཏུ་མ་ཟད
'bab	འབབ
'bab byed	འབབ་བྱེད
'bab chu'i rgyun	འབབ་ཆུའི་རྒྱུན
'bab ldan ma	འབབ་ལྡན་མ
'bab par bya	འབབ་པར་བྱ
'bab par byed	འབབ་པར་བྱེད
'bab par gyur	འབབ་པར་གྱུར
'bab po	འབབ་པོ
'bab ~~	འབབ་⟨~~⟩
'babs pa	འབབས་པ
'bad	འབད
'bad bya ba	འབད་བྱ་བ
'bad ldan pa	འབད་ལྡན་པ
'bad med bde ba	འབད་མེད་བདེ་བ
'bad med du	འབད་མེད་དུ
'bad med par	འབད་མེད་པར
'bad mi dgos	འབད་མི་དགོས
'bad pa	འབད་པ
'bad pa gyis	འབད་པ་གྱིས
'bad pa med pa	འབད་པ་མེད་པ
'bad pa mi mnga' bar ye shes 'jug pa	འབད་པ་མི་མངའ་བར་ཡེ་ཤེས་འཇུག་པ
'bad pa'i rnam pa bsgom pa	འབད་པའི་རྣམ་པ་བསྒོམ་པ
'bad par bgyi	འབད་པར་བགྱི
'bad par byed do	འབད་པར་བྱེད་དོ
'bad par gyis	འབད་པར་གྱིས
'bad rtsol ldan pa	འབད་རྩོལ་ལྡན་པ
'bag	འབག
'bags pa	འབགས་པ
'bal ba	འབལ་བ
'bang	འབང
'bang gi bu mo	འབང་གི་བུ་མོ
'bang mo yi bu	འབང་མོ་ཡི་བུ
'bang mo'i bu	འབང་མོའི་བུ
'bangs kyis zil gnon pa	འབངས་ཀྱིས་ཟིལ་གནོན་པ
'bangs mo'i bu	འབངས་མོའི་བུ
'bangs mo'i tshogs	འབངས་མོའི་ཚོགས
'bangs phrug	འབངས་ཕྲུག
'bar	འབར
'bar ba'i khyad par gyi gzi brjid rgyal po	འབར་བའི་ཁྱད་པར་གྱི་གཟི་བརྗིད་རྒྱལ་པོ
'bar ba'i skra can	འབར་བའི་སྐྲ་ཅན
'bar bar byas pa	འབར་བར་བྱས་པ
'bar bar mdzad pa	འབར་བར་མཛད་པ
'bar ma	འབར་མ
'bar me	འབར་མེ
'bebs las	འབེབས་ལས
'bebs par byed	འབེབས་པར་བྱེད
'bel gtam	འབེལ་གཏམ
'ben 'tshol	འབེན་འཚོལ
'ber bar byed pa	འབེར་བར་བྱེད་པ
'big pa	འབིག་པ
'bigs byed	འབིགས་བྱེད
'bigs byed pa	འབིགས་བྱེད་པ
'bigs ma	འབིགས་མ
'bigs skyong	འབིགས་སྐྱོང
'bir gung pa	འབིར་གུང་པ
'bobs zon	འབོབས་ཟོན
'bod byogs	འབོད་བྱོགས
'bod phyogs	འབོད་ཕྱོགས
'bod sgra	འབོད་སྒྲ
'bod sgrogs	འབོད་སྒྲོགས
'bog	འབོག
'bog gyur na	འབོག་གྱུར་ན
'bogs te	འབོགས་ཏེ
'bos 'bo ba	འབོས་འབོ་བ
'bos gyur cing	འབོས་གྱུར་ཅིང
'bra gro'i (go'i) shing	འབྲ་གྲོའི་⟨(go'i)⟩་ཤིང
'brad pa	འབྲད་པ
'bral ba	འབྲལ་བ
'bral ba'i sdug bsngal	འབྲལ་བའི་སྡུག་བསྔལ
'bral ba'i sdug bsngal me	འབྲལ་བའི་སྡུག་བསྔལ་མེ
'bral ba'i snying po	འབྲལ་བའི་སྙིང་པོ
'bral ba'i yongs gdung	འབྲལ་བའི་ཡོངས་གདུང
'bral bar byed de	འབྲལ་བར་བྱེད་དེ
'bral bar mi byed pa	འབྲལ་བར་མི་བྱེད་པ
'bral bas gdungs pa	འབྲལ་བས་གདུངས་པ
'bral gyur cig	འབྲལ་གྱུར་ཅིག
'bral med mdzod	འབྲལ་མེད་མཛོད
'bral mi myong ba	འབྲལ་མི་མྱོང་བ
'brang ba	འབྲང་བ
'brang bar gyur	འབྲང་བར་གྱུར
'brang ste	འབྲང་སྟེ
'brangs te	འབྲངས་ཏེ
'bras 'byung	འབྲས་འབྱུང
'bras 'dod	འབྲས་འདོད
'bras bcas	འབྲས་བཅས
'bras bu 'byor ba	འབྲས་བུ་འབྱོར་བ
'bras bu 'dod pa	འབྲས་བུ་འདོད་པ
'bras bu 'dzin pa	འབྲས་བུ་འཛིན་པ
'bras bu 'dzin pa'i yon tan	འབྲས་བུ་འཛིན་པའི་ཡོན་ཏན
'bras bu 'gog pa	འབྲས་བུ་འགོག་པ
'bras bu byang chub chen po	འབྲས་བུ་བྱང་ཆུབ་ཆེན་པོ
'bras bu bzang	འབྲས་བུ་བཟང
'bras bu can	འབྲས་བུ་ཅན
'bras bu che ba	འབྲས་བུ་ཆེ་བ
'bras bu chen po lnga bsgral ba	འབྲས་བུ་ཆེན་པོ་ལྔ་བསྒྲལ་བ
'bras bu cher	འབྲས་བུ་ཆེར
'bras bu dag	འབྲས་བུ་དག
'bras bu dam pa'i dpal ldan	འབྲས་བུ་དམ་པའི་དཔལ་ལྡན
'bras bu dang bcas pa	འབྲས་བུ་དང་བཅས་པ
'bras bu dang phan yon che ba	འབྲས་བུ་དང་ཕན་ཡོན་ཆེ་བ
'bras bu gang ba	འབྲས་བུ་གང་བ
'bras bu gnyis su 'gyur ba	འབྲས་བུ་གཉིས་སུ་འགྱུར་བ
'bras bu gsum	འབྲས་བུ་གསུམ
