# pyewts.toWylie reference fixtures (OpenPecha/pyewts master, Apache-2.0)
# inputs: hgm_dictionary_v27_2 tibetan column + strided 84000 TM native unicode
ཀ	ka
ཀ་འཁོར་བ	ka 'khor ba
ཀ་ཅོག་ཞང	ka cog zhang
ཀ་དག	ka dag
ཀ་ནས་དག་པ། ཀ་དག	ka nas dag pa/_ka dag
ཀ་བ	ka ba
ཀ་བུམ་གཉིས	ka bum gnyis
ཀ་བུམ། ཀ་བ་དང་བུམ་པ	ka bum/_ka ba dang bum pa
ཀ་མ་ལ་ཤཱི་ལ	ka ma la shI la
ཀ་ཙན་དབྱངས་གསུམ	ka tsan dbyangs gsum
ཀཱ་ཡ	kA ya
ཀཱ་ལ་ཙ་ཀྲ	kA la tsa kra
ཀན་རྩ	kan rtsa
ཀའི་ཉེ་བའི་ཉོན་མོངས་པ	ka'i nye ba'i nyon mongs pa
ཀརྞ་པ	kar+Na pa
ཀར་ས་པ་ན	kar sa pa na
ཀས་གདུགས	kas gdugs
ཀུན	kun
ཀུན་དཀྲིས	kun dkris
ཀུན་དཀྲིས། དཀུན་ནས་དཀྲིས་པ་ན	kun dkris/_dkun nas dkris pa na
ཀུན་ཁྱབ་མུན་པ	kun khyab mun pa
ཀུན་མཁྱེན	kun mkhyen
ཀུན་མཁྱེན་ཀུན་གཟིགས	kun mkhyen kun gzigs
ཀུན་མཁྱེན་ཉིད	kun mkhyen nyid
ཀུན་མཁྱེན་བུ་རམ་ཤིང་པ	kun mkhyen bu ram shing pa
ཀུན་གྱི་དོན་འགྲུབ་བྱེད	kun gyi don 'grub byed
ཀུན་གྱི་དབང་ཕྱུག	kun gyi dbang phyug
ཀུན་དགའ་སྙིང་པོ	kun dga' snying po
ཀུན་དགའ་ར་བ	kun dga' ra ba
ཀུན་དགའ་ར་བ་ཕུན་སུམ་ཚོགས་པ	kun dga' ra ba phun sum tshogs pa
ཀུན་དགའ་རྭ་བ	kun dga' rwa ba
ཀུན་དགའི་སྒྲ	kun dga'i sgra
ཀུན་འགྲོ་ལྔ	kun 'gro lnga
ཀུན་འགྲོ་བདག་ཉིད	kun 'gro bdag nyid
ཀུན་འགྲོའི་རྒྱུ	kun 'gro'i rgyu
ཀུན་འགྲོའི་ཚུལ	kun 'gro'i tshul
ཀུན་འགྲོ། ཀུན་ཏུ་འགྲོ་བ	kun 'gro/_kun tu 'gro ba
རྒྱལ་ཀུན་ཡབ་གཅིག	rgyal kun yab gcig
ཀུན་ཆུབ་པར་བྱ་བ	kun chub par bya ba
ཀུན་ཆུབ་པར་བྱེད	kun chub par byed
ཀུན་བརྗོད་པའི་ཆོ་འཕྲུལ	kun brjod pa'i cho 'phrul
ཀུན་ཉོན་དང་རྣམ་བྱང་ཐ་དད་མེད་པ	kun nyon dang rnam byang tha dad med pa
ཀུན་ཉོན་མོངས་རྣམ་པར་བྱང	kun nyon mongs rnam par byang
ཀུན་ཉོན་མོངས། ཀུན་ནས་ཉོན་མོངས་པ	kun nyon mongs/_kun nas nyon mongs pa
ཀུན་ཏུ	kun tu
ཀུན་ཏུ་སྐྱེད་པར་བྱེད	kun tu skyed par byed
ཀུན་ཏུ་སྐྱོ་བ	kun tu skyo ba
ཀུན་ཏུ་སྐྲག	kun tu skrag
ཀུན་ཏུ་བསྐྱེད་པ	kun tu bskyed pa
ཀུན་ཏུ་བསྐྱོད	kun tu bskyod
ཀུན་ཏུ་ཁེབས་པར་མཛད་ནས	kun tu khebs par mdzad nas
ཀུན་ཏུ་འཁྲུགས་པ	kun tu 'khrugs pa
ཀུན་ཏུ་རྒྱལ	kun tu rgyal
ཀུན་ཏུ་རྒྱུ་སྟེ	kun tu rgyu ste
ཀུན་ཏུ་རྒྱུ་བ	kun tu rgyu ba
ཀུན་ཏུ་རྒྱུ་མོ	kun tu rgyu mo
ཀུན་ཏུ་དངང་བར་འགྱུར་བ	kun tu dngang bar 'gyur ba
ཀུན་ཏུ་བཅོམ་དཀར་པོའི་ཆོས་རྣམས	kun tu bcom dkar po'i chos rnams
ཀུན་ཏུ་ཆད་པ་དགེ་བའི་རྩ་བ	kun tu chad pa dge ba'i rtsa ba
ཀུན་ཏུ་འཇུག	kun tu 'jug
ཀུན་ཏུ་འཇོམས་པ	kun tu 'joms pa
ཀུན་ཏུ་རྟོག་པ	kun tu rtog pa
ཀུན་ཏུ་རྟོག་པ་ཙམ	kun tu rtog pa tsam
ཀུན་ཏུ་རྟོག་པ་ལས་བྱུང	kun tu rtog pa las byung
ཀུན་ཏུ་རྟོགས་པ	kun tu rtogs pa
ཀུན་ཏུ་རྟོགས་པར་བྱ་བ	kun tu rtogs par bya ba
ཀུན་ཏུ་སྟོན་པ	kun tu ston pa
ཀུན་ཏུ་བསྟན་པ	kun tu bstan pa
ཀུན་ཏུ་འདྲེན་པ	kun tu 'dren pa
ཀུན་ཏུ་འདྲེས་པ	kun tu 'dres pa
ཀུན་ཏུ་སྡུད་པ	kun tu sdud pa
ཀུན་ཏུ་སྣང	kun tu snang
ཀུན་ཏུ་སྣང་བ	kun tu snang ba
ཀུན་ཏུ་སྣང་བར་བྱས་ནས	kun tu snang bar byas nas
ཀུན་ཏུ་སྤྱན་རས་གཟིགས་དབང་པོ	kun tu spyan ras gzigs dbang po
ཀུན་ཏུ་སྤྱོད	kun tu spyod
ཀུན་ཏུ་སྤྱོད་པ་མེད་པ	kun tu spyod pa med pa
ཀུན་ཏུ་སྤྱོད་པ། ཀུན་སྤྱོད	kun tu spyod pa/_kun spyod
ཀུན་ཏུ་འབྱིན	kun tu 'byin
ཀུན་ཏུ་འབྱུང་བ། ཀུན་འབྱུང	kun tu 'byung ba/_kun 'byung
ཀུན་ཏུ་སྦྱར	kun tu sbyar
ཀུན་ཏུ་སྦྱོར་བ	kun tu sbyor ba
ཀུན་ཏུ་སྦྱོར་བར་བྱེད	kun tu sbyor bar byed
ཀུན་ཏུ་མི་སྦྱོར་བར་བྱེད་པ	kun tu mi sbyor bar byed pa
ཀུན་ཏུ་རྨོངས་པའི་ས་བོན	kun tu rmongs pa'i sa bon
ཀུན་ཏུ་རྨོངས་པ། ཀུན་རྨོངས། ཀུན་རྨོངས་པ	kun tu rmongs pa/_kun rmongs/_kun rmongs pa
ཀུན་ཏུ་བཙལ	kun tu btsal
ཀུན་ཏུ་ཚིམ་པ་སྐྱེ	kun tu tshim pa skye
ཀུན་ཏུ་འཛིན་པ	kun tu 'dzin pa
ཀུན་ཏུ་ཞུམ	kun tu zhum
ཀུན་ཏུ་ཞུམ་པ	kun tu zhum pa
ཀུན་ཏུ་ཞུམ་པར་འགྱུར	kun tu zhum par 'gyur
ཀུན་ཏུ་ཟླུམ་པོ	kun tu zlum po
ཀུན་ཏུ་བཟང	kun tu bzang
