'bab bde|<place> Easy Flow: A lotus pool in Lateral. (Original glossary entry: https://84000.co/glossary/entity-30069.html)
'bab chu rnam kyis mngon par dga' ba|<place> Cascades of Joy: A forest in Total Pleasure. (Original glossary entry: https://84000.co/glossary/entity-29930.html)
'bab chu rnam pa sna tshogs pa dang ldan pa|<place> Adorned with Numerous Cascades: A mountain in Shining in Manifold Ways. (Original glossary entry: https://84000.co/glossary/entity-29827.html)
'bab chu'i sgra dang ldan pa'i nags|<place> Forest of Cascading Water Sounds: A forest on Great Slope. (Original glossary entry: https://84000.co/glossary/entity-30178.html)
'bab cu|<place> Cascade: A park in Delighting in Flower Garlands. (Original glossary entry: https://84000.co/glossary/entity-29929.html)
'bar ba 'dzin|<place> Jālandhara (Skt: jālandhara): One of the four pīṭhas. (Original glossary entry: https://84000.co/glossary/entity-8888.html)\n\nSynonym: {dzA lan dha ra}
'bar ba'i 'od|<person> Ujjvalaprabha (Skt: ujjvalaprabha): A buddha. (Original glossary entry: https://84000.co/glossary/entity-43954.html)
'bar ba'i dbyangs|<person> Blazing Melody: Buddha in the presence of whom the buddha Devarāja (690 according to the third enumeration) first gave rise to the mind of awakening. (Original glossary entry: https://84000.co/glossary/entity-19741.html)
'bar ba'i khyad par gyi gzi brjid kyi rgyal po|<person> Jvalanāntaratejorāja (Skt: jvalanāntaratejorāja): A deity in the Trāyastriṃśa paradise. (Toh 557: 'bar ba'i khyad par gyi gzi brjid rgyal po. Toh 555: mchog tu rgyal ba'i 'od) (Original glossary entry: https://84000.co/glossary/entity-43821.html)\n\nSynonyms: {'bar ba'i khyad par gyi gzi brjid rgyal po}, {mchog tu rgyal ba'i 'od}
'bar ba'i khyad par gyi gzi brjid rgyal po|<person> Jvalanāntaratejorāja (Skt: jvalanāntaratejorāja): \n1) A deity in the Trāyastriṃśa paradise.\n2) (Toh 556: 'bar ba'i khyad par gyi gzi brjid kyi rgyal po; Toh 555: mchog tu rgyal ba'i 'od)\n\n(Original glossary entry: https://84000.co/glossary/entity-43821.html)\n\nSynonyms: {'bar ba'i khyad par gyi gzi brjid kyi rgyal po}, {mchog tu rgyal ba'i 'od}
