Abb. Wylie,Abb. Unicode,Expan. Wylie,Expan. Unicode,Source
ka'i,ཀའི,ka ba'i,ཀ་བའི,rKTs (CC BY 4.0): Esukhia
kas+yegak+r+zer,ཀསྱེགཀྲྯེར,ka gseg ka 'dra zer,ཀ་གསེག་ཀ་འདྲ་ཟེར,rKTs (CC BY 4.0): Esukhia
kwartsa,ཀྭརྩ,ka rtswa,ཀ་རྩྭ,rKTs (CC BY 4.0): Esukhia
k+king,ཀྐིང༌,ki kang,ཀི་ཀང༌,rKTs (CC BY 4.0)
ki+i so+o,ཀིི་སོོ,ki ki swo swo,ཀི་ཀི་སྭོ་སྭོ,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
ki+i swo+o,ཀིི་སྭོོ,ki ki swo swo,ཀི་ཀི་སྭོ་སྭོ,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
k^uMl^a,ཀུཾ༹ལ༹,ku mud tshal,ཀུ་མུད་ཚལ,rKTs (CC BY 4.0): Dzongkha abbreviations
kuMd,ཀུཾད,ku mud,ཀུ་མུད,rKTs (CC BY 4.0): Dzongkha abbreviations
k^un,ཀུ༹ན,ku tsan dan,ཀུ་ཙན་དན,rKTs (CC BY 4.0): Dzongkha abbreviations
kun+yab,ཀུནྱབ,kun khyab,ཀུན་ཁྱབ,rKTs (CC BY 4.0): Dzongkha abbreviations
kuniT,ཀུནིཊ,kun gzigs,ཀུན་གཟིགས,rKTs (CC BY 4.0): Dzongkha abbreviations
ku+igs,ཀིུགས,kun gzigs,ཀུན་གཟིགས,rKTs (CC BY 4.0)
ku+iT,ཀིུཊ,kun gzigs,ཀུན་གཟིགས,rKTs (CC BY 4.0): Dzongkha abbreviations
kunal,ཀུནལ,kun gsal,ཀུན་གསལ,rKTs (CC BY 4.0): Dzongkha abbreviations
kuni,ཀུནི,kun gyi,ཀུན་གྱི,rKTs (CC BY 4.0): Dzongkha abbreviations
kun+yis,ཀུནྱིས,kun gyis,ཀུན་གྱིས,rKTs (CC BY 4.0): Dzongkha abbreviations
kunrub,ཀུནྲུབ,kun grub,ཀུན་གྲུབ,rKTs (CC BY 4.0): Dzongkha abbreviations
kunagre,ཀུནགྲེ,kun 'gre,ཀུན་འགྲེ,rKTs (CC BY 4.0): Esukhia
kun+rol,ཀུནྲོལ,kun grol,ཀུན་གྲོལ,rKTs (CC BY 4.0): Esukhia
kunu,ཀུནུ,kun tu,ཀུན་ཏུ,rKTs (CC BY 4.0): Esukhia
kunungo,ཀུནུངོ༌,kun tu bzang po,ཀུན་ཏུ་བཟང་པོ,rKTs (CC BY 4.0): Dzongkha abbreviations
ku+onung,ཀོུནུང,kun tu bzang po,ཀུན་ཏུ་བཟང་པོ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
kun+t^uM,ཀུནྟུཾ༹,kun tu bzang,ཀུན་ཏུ་བཟང,rKTs (CC BY 4.0): Dzongkha abbreviations
kun+tung,ཀུནྟུང༌,kun tung,ཀུན་ཏུང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
ku+is,ཀིུས,kun dkris,ཀུན་དཀྲིས,rKTs (CC BY 4.0)
kuna',ཀུནའ,kun dga',ཀུན་དགའ,rKTs (CC BY 4.0)
kunas 'bab,ཀུནས་འབབ,kun nas 'bab,ཀུན་ནས་འབབ,rKTs (CC BY 4.0): Dzongkha abbreviations
kunas,ཀུནས,kun nas,ཀུན་ནས,rKTs (CC BY 4.0)
kun+sa,ཀུནྶ,kun nas,ཀུན་ནས,rKTs (CC BY 4.0)
kuno,ཀུནོ,kun po,ཀུན་པོ,rKTs (CC BY 4.0): Dzongkha abbreviations
kun+ced,ཀུནྕེད,kun bcad de,ཀུན་བཅད་དེ,rKTs (CC BY 4.0): Esukhia
kunang,ཀུནང༌,kun bzang,ཀུན་བཟང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
kunazang,ཀུནཟང༌,kun bzang,ཀུན་བཟང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
k^uMn,ཀུཾ༹ན,kun bzang,ཀུན་བཟང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
kun+zang,ཀུནྯང,kun bzang,ཀུན་བཟང,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
ku+onang,ཀོུནང༌,kun bzang po,ཀུན་བཟང་པོ,rKTs (CC BY 4.0): Dzongkha abbreviations
kun^ang,ཀུན༹ང,kun bzang,ཀུན་བཟང,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
ng+kun,ངྐུན,kun bzang,ཀུན་བཟང,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
kun+dung,ཀུནྡུང,kun brdungs,ཀུན་བརྡུངས,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
kun+yaino,ཀུནྱཻནོ,kun mkhyen chen po,ཀུན་མཁྱེན་ཆེན་པོ,rKTs (CC BY 4.0): Dzongkha abbreviations
