[ACIP input codes]
[* ]*
[KA\ ]KA\
[: ]:
[, ],
[` ]`
[# ]#
[; ];
[SPACE ] 
[0 ]0
[1 ]1
[2 ]2
[3 ]3
[4 ]4
[5 ]5
[6 ]6
[7 ]7
[8 ]8
[9 ]9
[A'A ]A'A
[AA ]AA
[AE ]AE
[AEE ]AEE
[AEm ]AEm
[AI ]AI
[Ai ]Ai
[AAm ]AAm
[AO ]AO
[AOm ]AOm
[A'A: ]A'A:
[H'Um ]H'Um
[AOO ]AOO
[AU ]AU
['A ]'A
[BA ]BA
[B'A ]B'A
[BBA ]BBA
[BBHA ]BBHA
[B+DA ]B+DA
[BDHA ]BDHA
[BHA ]BHA
[BH'A ]BH'A
[BHMA ]BHMA
[BHRA ]BHRA
[BHYA ]BHYA
[BLA ]BLA
[BRA ]BRA
[BTA ]BTA
[BY'A ]BY'A
[BYA ]BYA
[CA ]CA
[C'A]C'A
[CHA ]CHA
[CH'A]CH'A
[CVA ]CVA
[dA ]dA
[d'A ]d'A
[ddA ]ddA
[dGA ]dGA
[dGHA ]dGHA
[dHA ]dHA
[dHRA ]dHRA
[dYA ]dYA
[DA ]DA
[D'A ]D'A
[D+BA ]D+BA
[DBHA ]DBHA
[DBHYA ]DBHYA
[DBRA ]DBRA
[D+BRA ]D+BRA
[DDA ]DDA
[DDH'A ]DDH'A
[DDHA ]DDHA
[DDHYA ]DDHYA
[DDRA ]DDRA
[D+GA ]D+GA
[DGHA ]DGHA
[DHA ]DHA
[DH'A ]DH'A
[DHMA ]DHMA
[DHNA ]DHNA
[DHN+YA ]DHN+YA
[DHRA ]DHRA
[DHVA ]DHVA
[DHY'A ]DHY'A
[DHYA ]DHYA
[D+MA ]D+MA
[DR'A ]DR'A
[DRA ]DRA
[DRVA ]DRVA
[DRYA ]DRYA
[DVA ]DVA
[DY'A ]DY'A
[DYA ]DYA
[DZA ]DZA
[DZDZA ]DZDZA
[DZDZHA ]DZDZHA
[DZHA ]DZHA
[DZNYA ]DZNYA
[DZNY'A ]DZNY'A
[DZNYYA ]DZNYYA
[DZRA ]DZRA
[DZVA ]DZVA
[DZYA ]DZYA
[GA ]GA
[G'A ]G'A
[GBHA ]GBHA
[G+DA ]G+DA
[GDHA ]GDHA
[GGA ]GGA
[GHA ]GHA
[GH'A]GH'A
[GHNA ]GHNA
[GHRA ]GHRA
[GLA ]GLA
[G+NA ]G+NA
[GNYA ]GNYA
[GRA ]GRA
[GRVA ]GRVA
[GRYA ]GRYA
[GVA ]GVA
[GYA ]GYA
[HA ]HA
[H'A ]H'A
[HLA ]HLA
[HMA ]HMA
[HnA ]HnA
[HNA ]HNA
[HPHA ]HPHA
[HRA ]HRA
[HR'A]HR'A
[HR'I]HR'I
[HSA ]HSA
[HTA ]HTA
[HVA ]HVA
[HYA ]HYA
[JA ]JA
