file,dir,kind,consonant_index,vowel_index,suffix_index,tibetan,wylie,identified,bytes,sha256
1_0_0--ka.mp3,syllable_mp3,syllable,1,0,0,ཀ,ka,True,6268,c6f0bb1b46bbf0eca4905826470ee25460ac68d423f2b8d0fddcf819789153fb
1_0_1--kag.mp3,syllable_mp3,syllable,1,0,1,ཀག,kag,True,7104,e45633c54a5169a9de0d6fb2490bdca6fe98641a124e107b0a84df48cfb57531
1_0_2--kang.mp3,syllable_mp3,syllable,1,0,2,ཀང,kang,True,6268,981f8cdbec73317b89dcd8f64d1145d0f654ce3608ee3ccd0997067f66006bcd
1_0_3--kad.mp3,syllable_mp3,syllable,1,0,3,ཀད,kad,True,5432,ac7fb75b9b01d867b50804e40d2daa40bde4cc4ddd92a60742d5f8a3924a3da8
1_0_4--kan.mp3,syllable_mp3,syllable,1,0,4,ཀན,kan,True,7104,c20adf854617bec9cde2bd2f5f53ed970c7d810978b04e4ca7f7305225740f12
1_0_5--kab.mp3,syllable_mp3,syllable,1,0,5,ཀབ,kab,True,6268,b7a0ac6cccde61833b39c2bbfe56e2e5394b2c5d0ae4a042517ff9e141e0dd0c
1_0_6--kam.mp3,syllable_mp3,syllable,1,0,6,ཀམ,kam,True,6268,9dd77fac8dd5f3b0765819f48e5828e79d6f45b6c4b5f259e789f29c5cfc2794
1_0_7--ka'.mp3,syllable_mp3,syllable,1,0,7,ཀའ,ka',True,6268,9a27fe9b1d232c0bd7eab5a7e56c568cc019dc995aade31bd1baf00d70e3a1b8
1_0_8--kar.mp3,syllable_mp3,syllable,1,0,8,ཀར,kar,True,6268,0ac4bea01be96de47197797fd21ccc03bac6269b96c71dc0daf381a5cdb33ba7
1_0_9--kal.mp3,syllable_mp3,syllable,1,0,9,ཀལ,kal,True,7104,b8680d28e40d20d5a00fba8535a1224a58918e60f44d959a0e980716b56faba2
1_0_10--kas.mp3,syllable_mp3,syllable,1,0,10,ཀས,kas,True,7104,ef462bebf75a3a282d1f2883bc316abbc15a3fab503556141114a4046aff70f1
1_1_0--ki.mp3,syllable_mp3,syllable,1,1,0,ཀི,ki,True,6268,3940928b96178bf1e4ee4bf2e38dcacdd06ef7a85c5a722b0613888dd4c28ad9
1_1_1--kig.mp3,syllable_mp3,syllable,1,1,1,ཀིག,kig,True,6268,505207c7d1a5b55acdde5fa2888533ad02287579113c497acf118f728acd3914
1_1_2--king.mp3,syllable_mp3,syllable,1,1,2,ཀིང,king,True,7104,e4083f2d051978b331b6be4ea3837e80b57fd52c70e7af51e84c3d94724b80e1
1_1_3--kid.mp3,syllable_mp3,syllable,1,1,3,ཀིད,kid,True,6268,4b64d5dab801ec5858eb53a3d86a7011b8f6c718d24bde8f5bcc3632aa6cefae
1_1_4--kin.mp3,syllable_mp3,syllable,1,1,4,ཀིན,kin,True,7104,cc31981fb1c1cb9d600058ed59effa25f182a841077508dde3a31b5d478224eb
1_1_5--kib.mp3,syllable_mp3,syllable,1,1,5,ཀིབ,kib,True,6268,fe93290eed872c3eeb08878da848f4c3b2912748244b20569dc797e43addbb44
1_1_6--kim.mp3,syllable_mp3,syllable,1,1,6,ཀིམ,kim,True,7104,8123784e240d4e016c75608aa96bcd1f498be150dc0c1e5c197840b2209728c9
1_1_7--ki'.mp3,syllable_mp3,syllable,1,1,7,ཀིའ,ki',True,7104,dfc9bf44db7d80346f9ecc3b8ce49225786e1b99acb192c7202aa29f9d5c2fc7
1_1_8--kir.mp3,syllable_mp3,syllable,1,1,8,ཀིར,kir,True,6268,d31f7a30dced87dc2ba4bf14bb1573bde1e405efa21bc6d519c20d009190f12a
1_1_9--kil.mp3,syllable_mp3,syllable,1,1,9,ཀིལ,kil,True,7104,a32026c4d7ea46082a02ac3f3ca720a7d08cf02781624e7bb49f0ae44a790b5e
1_1_10--kis.mp3,syllable_mp3,syllable,1,1,10,ཀིས,kis,True,7104,2c53cd43984268ddfcc8dbe46feab70be47564b26603c05b94f93fac6e7b9d6f
1_2_0--ku.mp3,syllable_mp3,syllable,1,2,0,ཀུ,ku,True,5432,6e4791a6acb822c5620b9cd7a9891025c65204d5cf3d1caa7c63e3fc947b0181
1_2_1--kug.mp3,syllable_mp3,syllable,1,2,1,ཀུག,kug,True,5432,641bfa8dc7dcf00f4d3630999705105acac8d17a87bb61851d67b0b2eda12582
1_2_2--kung.mp3,syllable_mp3,syllable,1,2,2,ཀུང,kung,True,7104,4168e2cdaf27d6f42fa7ad07792d47a34ca4d208a4b4b83298ee516b7ad24e48
1_2_3--kud.mp3,syllable_mp3,syllable,1,2,3,ཀུད,kud,True,7104,264460e1bfba180539dffa08c6ebc1eeee027593e2a7a8bcbeb264fe84876374
