# Chandra Das headword -> pdf page (das_1902_bookmarked.pdf)
# SOURCE: Christian Steinert's ChandraDas_Scan index —
# permission granted by email 2026-08-13 ('feel free to
# use the Chandra Das headword index for your own needs')
# with his caveat: interpolated positions, terms may sit a
# page away. '?' rows are his own uncertainty marks,
# preserved as certain=0. printed->pdf offset +40
# (312-sample majority vote vs our section map).
# wylie	pdf_page	certain
ka	41	1
ka ka	42	1
ka ka ni	42	0
ka ka rang	42	0
ka ka ri	42	0
ka ki ni	42	0
ka ku sta	42	0
ka ku bha ya	43	1
ka ku b+ha ya	43	1
ka ke ri ya	43	0
ka ko	43	0
ka ko la	43	0
ka kha	43	0
ka kha pa	43	0
ka khol ma	43	0
ka mgo	43	0
ka ca	43	0
ka can	43	0
ka ci	43	0
ka ci skyem ras	43	0
ka ci li	43	0
ka gcig sgo gcig	43	0
ka lci	43	0
ka lcog	43	0
ka cha	43	0
ka chug	43	0
ka ta	43	0
ka ta ka	43	0
ka ta ma ka	44	1
ka ta ya	44	0
ka ta ya na nog can	44	0
ka ta ra	44	0
ka ta ru	44	0
ka tan	44	0
ka tam bha	44	0
ka ta'i bu	44	0
ka ta'i bu mo	44	0
ka to ra	44	0
ka t+ya'i bu	44	0
ka tya'i bu	44	0
ka Ta ki	44	0
ka Tu ka	44	0
ka To ra	44	0
ka tha ra	44	0
ka thi shi	44	0
ka the	44	0
ka tho	44	0
ka thog	44	0
ka da ru ha	44	0
ka dag	44	0
ka dam pa	44	0
ka dam pa can	44	0
ka sde	44	0
ka na ka	44	0
ka na ka warma	45	1
ka na tsa	45	0
ka na tsa na	45	0
ka na ya	45	0
ka ni ka	45	0
ka Na ya	45	0
ka gnam	45	0
ka pa	45	0
ka pa la	45	0
ka pi	45	0
ka pi ka tsha	45	0
ka pi da	45	0
ka pi na	45	0
ka pi la mu ni	46	1
ka ping tha	46	0
ka pin da	46	0
ka pu ta	46	0
ka ped	46	0
ka dpe	46	0
ka pha	46	0
ka phreng	46	0
ka 'phan	46	0
ka ba	46	0
ka ba bzang po	46	0
ka ba'i sbyar bkod	46	0
ka bi ta	46	0
ka bi ta la	46	0
ka bu lo	46	0
ka bed	46	0
ka bel	46	0
ka bo ka	46	0
ka ma cha	48	1
ka ma ta	48	0
ka ma rtsi	48	0
ka ma ru	48	0
ka ma la	48	0
ka ma la shI la	48	0
ka ma li	48	0
ka mang ma	48	0
ka mig	48	0
ka mu la rdo rgyad	48	0
ka med	48	0
ka smad sum cu	48	0
ka tsa rked nyag	48	0
ka tsa ru tsa ka	48	0
ka tsa lin di	48	0
ka tsang ka la	48	0
ka tsi li ban	49	1
ka rtsa ga la	49	0
ka rtsam	49	0
ka rtse	49	0
ka rtsom	49	0
ka tshal	49	0
ka tshigs chen po	49	0
ka gzhu	49	0
ka ya	49	0
ka ya go'u ri	49	0
ka yang rtse	49	0
ka ra	49	0
ka ra da	49	0
ka ra na jus	49	0
ka ra na rus	49	0
ka ra nang	49	0
ka ra bi ra	49	0
ka ra ru be ka	50	1
ka ra ha ri	50	0
ka rany dza	50	0
ka ranya dza	50	0
ka ran da ba	50	0
ka ran Da	50	0
ka ras	50	0
ka ri'i bu mo	50	0
ka ru	50	0
ka re	50	0
ka la ta	50	0
ka la ping ka	50	0
ka la bu	50	0
ka la ro zan	50	0
ka la sha	50	0
ka lag	50	0
ka lan ta ka	50	0
ka lan da ka	51	1
ka lan dza ri ka	51	0
ka lam ka	51	0
ka lam ba	51	0
ka lA pa	51	0
ka li	51	0
ka li ka	51	0
ka ling ga	51	0
ka le	51	0
ka sha	51	0
ka shi ka	51	0
ka shi ka phra mo	51	0
ka shi ru	51	0
ka shis	51	0
ka shubs	51	0
ka sa	51	0
ka san ka ra	51	0
ka ha na ya na shi la	52	1
karka ta	52	0
karke ta	52	0
kag	52	0
kag ka ba	52	0
kang ka	52	0
kang ka ra	52	0
kang dang king	52	0
kad	52	0
kan	52	0
kan ni ka	52	0
kan ma	52	0
kan tsi	52	0
kaN Ta kA ri	52	0
kalpa	52	0
kab kob	53	1
kab sha	53	0
kam bi la	53	0
kam bo dza	53	0
kam bo dzi ka	53	0
kaM ka	53	0
karma	53	0
ka'u	53	0
ka'u his	53	0
kar	53	0
kar skyin	53	0
kar rgyal	53	0
kar rgyud	53	0
kar chag	53	0
kar ni ka	53	0
kar smug	54	1
kar yol	54	0
kar lang ba	54	0
kar langs pa	54	0
kar sha pa ni	54	0
kar shubs	54	0
kar sa	54	0
kar sog	54	0
kSa ya	54	0
kA ka	54	0
kA khi la	54	0
kA ta ka	54	0
kA tya bu mo	54	0
kA pa li	55	1
kA be ri	55	0
kA tsi kA	55	0
kA ri kA	55	0
kA la ko	55	0
kA la sngo bsang	55	0
kA li	55	0
kA sha	55	0
ki	55	0
ki kang	55	0
ki ki	55	0
ki gu	55	0
ki rgyung	55	0
ki ta ka	55	0
ki ldir	55	0
ki pa	55	0
ki ma	56	1
ki tsi	56	0
ki ri kan	56	0
ki la ki la	56	0
king ka ra	56	0
king shu ka	56	0
kim pa	56	0
kim pa ka	56	0
kim pa la	56	0
ki'u	56	0
kil	56	0
kI ri ta ka	56	0
kI sha'i 'dab	56	0
ku	56	0
ku ku	56	0
ku ku sgrogs	56	0
ku ku ra tsa	56	0
ku kur ta pA dA	57	1
ku ke	57	0
ku co	57	0
ku cor	57	0
ku ther	57	0
ku deng nge	57	0
ku Na la	57	0
ku ba	57	0
ku ba la me tog	57	0
ku ba'i gzings	57	0
ku be ra	57	0
ku byi mang ke	57	0
ku ma ra	57	0
ku mud	57	0
ku mud grogs	57	0
ku mud dgra	57	0
ku mud can	57	0
ku mud gnyen	57	0
ku mud ldan	57	0
ku mud tshal	57	0
ku mud lo ma	57	0
ku dza	58	1
ku ya	58	0
ku ra	58	0
ku ra ba ka	58	0
ku ra ra	58	0
ku rang ga	58	0
ku ru	58	0
ku ru kul le	58	0
ku ru pin da	58	0
ku ru ban da	58	0
ku re	58	0
ku la	58	0
ku la kA	58	0
ku lan ta	58	0
ku lA la	58	0
ku lu ta	58	0
ku sha	58	0
ku sha na	59	1
ku sha ban d+ha	59	0
ku sha ban dha	59	0
ku sha la	59	0
ku sha li	59	0
ku sha'i grong khyer	59	0
ku shu	59	0
ku shu lu	59	0
ku shu'i khams	59	0
ku she sha ya	59	0
ku sa ra	59	0
ku sa li b+ha dra	59	0
ku sa li bha dra	59	0
ku su ma	59	0
ku su li	59	0
ku su lu pa	59	0
ku se rdzong	60	0
ku bswo	60	0
ku hu	60	0
ku hrang	60	0
kug	60	0
kug kug	60	0
kug kug byed pa	60	0
kug rtse	60	0
kung ku na	60	0
kung ku ma	60	0
kunya dza ra	60	0
kun	61	1
kun dkyil	61	0
kun dkris	61	0
kun bkram	61	0
kun skye	61	0
kun skyed byed	61	0
kun skyo ba	61	0
kun skyod	61	0
kun skyob gling	61	0
kun khebs	61	0
kun khyab	61	0
kun khyab dpal mo	61	0
kun mkhyen	61	0
kun mkhyen kun gzigs	61	0
kun mkhyen klong chen	61	0
kun mkhyen chos sku 'od zer	61	0
kun mkhyen nyi ma'i gnyen	61	0
kun mkhyen dbyig gnyen	61	0
kun 'khor	61	0
kun 'khyams	61	0
kun 'khrugs	61	0
kun 'khrul	61	0
kun gyi mtha'	61	0
kun gyi gnas	61	0
kun gyi rtsa ba	61	0
kun gyis bkur ba	62	1
kun gyis phyag byas	62	0
kun grub	62	0
kun gling	62	0
kun dga'	62	0
kun dga' rgyal mtshan dpal bzang po	62	0
kun dga' snying po	62	0
kun dga' nor	62	0
kun dga' ba 'dzin pa	62	0
kun dga' bo	62	0
kun dga' 'bar	62	0
kun dga' 'dzin pa	62	0
kun dga' gzhon nu	62	0
kun dga' ra ba	62	0
kun dga'i dbang mo	62	0
kun mgyogs	62	0
kun 'gebs	62	0
kun 'gog	62	0
kun 'gro	62	0
kun 'gro 'bad	62	0
kun 'gro'i srol	62	0
kun cings	62	0
kun bcom	63	1
kun chub	63	0
kun chos gtsang ba	63	0
kun mchog ldan	63	0
kun 'jug	63	0
kun 'jug pa	63	0
kun 'jug pho nya	63	0
kun 'joms	63	0
kun 'joms mchog	63	0
kun snying	63	0
kun ta	63	0
kun tu	63	0
kun tu bskyed	63	0
kun tu 'khyams	63	0
kun tu 'khrugs	63	0
kun tu gas	63	0
kun tu go ba	63	0
kun tu dga' bar gyur ba'i gling	63	0
kun tu 'gengs pa	63	0
kun tu 'gyed pa	63	0
kun tu 'gro	63	0
kun tu rgyas par byed pa	64	1
kun tu bsgribs	64	0
kun tu bcug pa	64	0
kun tu chags pa	64	0
kun tu 'jug pa sgrol	64	0
kun tu 'jug byed	64	0
kun tu 'jug bral	64	0
kun tu bsten	64	0
kun tu 'thor	64	0
kun tu dor	64	0
kun tu bde ba	64	0
kun tu 'dres pa	64	0
kun tu brdung ba	64	0
kun tu gnas	64	0
kun tu gnod par gyur pa	64	0
kun tu snang ba	64	0
kun tu spyad	64	0
kun tu spyod pa	64	0
kun tu spras	64	0
kun tu sbyor ba	64	0
kun tu mig ldan	64	0
kun tu rmongs	65	1
kun tu rmongs byed kyi mda'	65	0
kun tu 'dzin ma	65	0
kun tu gzigs	65	0
kun tu bzang po	65	0
kun tu bzang mo	65	0
kun tu 'ur 'ur	65	0
kun tu 'o ma	65	0
kun tu 'od	65	0
kun tu rab tu 'khrugs	65	0
kun tu rab tu 'gul	65	0
kun tu rab tu chem chem	65	0
kun tu rab tu g.yos	65	0
kun tu rig	65	0
kun tu ru	65	0
kun tu gsal	65	0
kun tu gsung	65	0
kun tu gso	65	0
kun gtum	65	0
kun btus	65	0
kun rtog	65	0
kun brtags	66	1
kun brtags pa'i mtshan nyid	66	0
kun brtan	66	0
kun bsten	66	0
kun thi ra	66	0
kun mthong gi mtsho	66	0
kun da	70	1
kun da byang sems	70	0
kun dang 'khon pa	70	0
kun dang mthun pa	70	0
kun du ru	70	0
kun du la	70	0
kun dong	70	0
kun don	70	0
kun dril ba	70	0
kun gdung	70	0
kun bdag	70	0
kun 'dar	70	0
kun 'dren	70	0
kun brdung	70	0
kun nas	70	0
kun nas dkrigs pa	70	0
kun nas skye	70	0
kun nas 'khums	70	0
kun nas 'gegs	70	0
kun nas 'gro	70	0
kun nas rgod	70	0
kun nas sgo'i le'u zhes pa'i mdo	70	0
kun nas sgrib par byed	70	0
kun nas nyon mongs pa	67	1
kun nas snyems	67	0
kun nas btags pa	67	0
kun nas btus pa	67	0
kun nas 'dud pa	67	0
kun nas ldang ba	67	0
kun nas sdud pa	67	0
kun nas snang ba	67	0
kun nas 'phags pa	67	0
kun nas bris	67	0
kun nas blangs	67	0
kun nas 'bar	67	0
