# work_key	english	tibetan	raw_label	source	vinaya
KD1	Vowed Morality	'DUL BA	Vowed_Morality--'DUL_BA	r6	1
KD16	Perfection of Wisdom	SHES PHYIN	Perfection_of_Wisdom--SHES PHYIN	r6	0
KD2	Vowed Morality	'DUL BA	Vowed_Morality--'DUL_BA	r6	1
KD3	Vowed Morality	'DUL BA	Vowed_Morality--'DUL_BA	r6	1
KD49	Stack of Jewels	DKON BRTZEGS	Stack_of_Jewels--DKON BRTZEGS	r6	0
KD60	Stack of Jewels	DKON BRTZEGS	Stack_of_Jewels--DKON BRTZEGS	r6	0
KD61	Stack of Jewels	DKON BRTZEGS	Stack_of_Jewels--DKON BRTZEGS	r6	0
KD62	Stack of Jewels	DKON BRTZEGS	Stack_of_Jewels--DKON BRTZEGS	r6	0
KD63	Stack of Jewels	DKON BRTZEGS	Stack_of_Jewels--DKON BRTZEGS	r6	0
KL21	Perfection of Wisdom	SHES PHYIN	Perfection_of_Wisdom--SHES PHYIN	r6	0
KX16	Perfection of Wisdom	SHES PHYIN	Perfection_of_Wisdom--SHES PHYIN	r6	0
R2	Biographies From The Great Dictionary	TSIG MDZOD CHEN MO	Biographies_From_The_Great_Dictionary--TSIG_MDZOD_CHEN_MO	r6	0
R3		རྣམ་ཐར།/རྣམ་ཐར་སྣ་ཚོགས།/ཤེས་བྱའི་གཏེར་མཛོད།	རྣམ་ཐར།/རྣམ་ཐར་སྣ་ཚོགས།/ཤེས་བྱའི་གཏེར་མཛོད།	sungbum	0
S1		ཕར་ཕྱིན།/སྤྱི།/མཁས་གྲུབ་བསྟན་པ་དར་རྒྱས།/མཐའ་དཔྱོད།	ཕར་ཕྱིན།/སྤྱི།/མཁས་གྲུབ་བསྟན་པ་དར་རྒྱས།/མཐའ་དཔྱོད།	sungbum	0
S1	Perfection Of Wisdom	PHAR PHYIN	Perfection_Of_Wisdom--PHAR_PHYIN	r6	0
S10		དྲང་ངེས།/མཁས་གྲུབ་བསྟན་པ་དར་རྒྱས།	དྲང་ངེས།/མཁས་གྲུབ་བསྟན་པ་དར་རྒྱས།	sungbum	0
S10	The Art Of Interpreting The Buddha	DRANG NGES	The_Art_Of_Interpreting_The_Buddha--DRANG_NGES	r6	0
S100		ཉམས་ལེན།/བླ་མའི་རྣལ་འབྱོར།/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།/དགའ་ལྡན་ལྷ་བརྒྱ་མ།	ཉམས་ལེན།/བླ་མའི་རྣལ་འབྱོར།/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།/དགའ་ལྡན་ལྷ་བརྒྱ་མ།	sungbum	0
S100	Works On The Thousand Angels Of The Heaven Of Bliss	DGA' LDAN LHA BRGYA MA	Works_On_The_Thousand_Angels_Of_The_Heaven_Of_Bliss--DGA'_LDAN_LHA_BRGYA_MA	r6	0
S1000		རྣམ་ཐར།/མཚན་ཐོག/ཆེས་ཤོས་རིན་པོ་ཆེ་བློ་བཟང་བྱང་ཆུབ་བསྟན་པའི་སྒྲོན་མེ།	རྣམ་ཐར།/མཚན་ཐོག/ཆེས་ཤོས་རིན་པོ་ཆེ་བློ་བཟང་བྱང་ཆུབ་བསྟན་པའི་སྒྲོན་མེ།	sungbum	0
S1000	Cheshu Rinpoche	CHE SHOS RIN PO CHE	Cheshu_Rinpoche--CHE SHOS RIN PO CHE	r6	0
S1001		དབུ་མ།/དབུ་མ་ལ་འཇུག་པའི་འགྲེལ་པ།/སྒོམ་སྡེ་ནམ་མཁའ་རྒྱལ་མཚན།	དབུ་མ།/དབུ་མ་ལ་འཇུག་པའི་འགྲེལ་པ།/སྒོམ་སྡེ་ནམ་མཁའ་རྒྱལ་མཚན།	sungbum	0
S1001	Practices Of Meditation And Reciting Sacred Words	BSGOMS BZLAS	Practices_Of_Meditation_And_Reciting_Sacred_Words--BSGOMS_BZLAS	r6	0
S1002		རྒྱུད།/འཇམ་དབྱངས།/སྒྲུབ་ཐབས།	རྒྱུད།/འཇམ་དབྱངས།/སྒྲུབ་ཐབས།	sungbum	0
S1002	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S1003		རྒྱུད།/འཇམ་དབྱངས།/རྗེས་གནང་།	རྒྱུད།/འཇམ་དབྱངས།/རྗེས་གནང་།	sungbum	0
S1003	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S1003	Rites For Granting Sacred Permission	RJES GNANG	Rites_For_Granting_Sacred_Permission--RJES_GNANG	r6	0
S102		ཆོ་ག/དགེ་བཤེས་བཤད་གཞུང་།	ཆོ་ག/དགེ་བཤེས་བཤད་གཞུང་།	sungbum	0
S102	Recitations For Geshe Degree Candidates	DGE BSHES BSHAD PA	Recitations_For_Geshe_Degree_Candidates--DGE_BSHES_BSHAD_PA	r6	0
S1023	Commentaries On The Practice	'GREL PA	Commentaries_On_The_Practice--'GREL_PA	r6	0
S103		རྒྱུད།/བདེ་མཆོག/ལུས་དཀྱིལ།	རྒྱུད།/བདེ་མཆོག/ལུས་དཀྱིལ།	sungbum	0
S103	Instructions For The Practice Of The Secret World Of The Body	LUS DKYIL	Instructions_For_The_Practice_Of_The_Secret_World_Of_The_Body--LUS_DKYIL	r6	0
S104		རྒྱུད།/འཇིགས་བྱེད།/སྦྱིན་སྲེག	རྒྱུད།/འཇིགས་བྱེད།/སྦྱིན་སྲེག	sungbum	0
S104	Methods Of Performing Fire Offerings	SBYIN SREG	Methods_Of_Performing_Fire_Offerings--SBYIN_SREG	r6	0
S105		རྒྱུད།/བདེ་མཆོག/སྦྱིན་སྲེག	རྒྱུད།/བདེ་མཆོག/སྦྱིན་སྲེག	sungbum	0
S105	Methods Of Performing Fire Offerings	SBYIN SREG	Methods_Of_Performing_Fire_Offerings--SBYIN_SREG	r6	0
S106		རྒྱུད།/འཇིགས་བྱེད།/སྦྱིན་སྲེག	རྒྱུད།/འཇིགས་བྱེད།/སྦྱིན་སྲེག	sungbum	0
S106	Methods Of Performing Fire Offerings	SBYIN SREG	Methods_Of_Performing_Fire_Offerings--SBYIN_SREG	r6	0
S107		རྒྱུད།/རྡོ་རྗེ་རྣལ་འབྱོར་མ།/སྦྱིན་སྲེག	རྒྱུད།/རྡོ་རྗེ་རྣལ་འབྱོར་མ།/སྦྱིན་སྲེག	sungbum	0
S107	Methods Of Performing Fire Offerings	SBYIN SREG	Methods_Of_Performing_Fire_Offerings--SBYIN_SREG	r6	0
S108		ལོ་ཐོ།/དུས་ཆེན།	ལོ་ཐོ།/དུས་ཆེན།	sungbum	0
S108	Astronomy And Astrology	SKAR RTZIS	Astronomy_And_Astrology--SKAR_RTZIS	r6	0
S109		ཆོ་ག/སྐུ་གསུང་ཐུགས་རྟེན།	ཆོ་ག/སྐུ་གསུང་ཐུགས་རྟེན།	sungbum	0
S109	Rituals For Creating Altars	RTEN BZHENGS	Rituals_For_Creating_Altars--RTEN_BZHENGS	r6	0
