# Honorific findings from Goldstein, Essentials of Modern Literary
# Tibetan (UC Press, 1991), §5.8 (book pp.95-96; PDF pp.111-112).
# THE literary-register authority. Facts with citation; in-house
# reference — never ship verbatim.
#
# SYSTEM FACTS (§5.8, p.95):
#  - WRITTEN Tibetan honorifics = TWO levels (h. / nh.); the
#    multi-level system is SPOKEN Tibetan. [Bears directly on the
#    high-honorific register design.]
#  - Honorificizer morphology (productive): phyag- (h. of lag pa) and
#    sku- (h. of gzugs po) prefix nominals: deb -> phyag deb (book h.),
#    las ka -> phyag las (work h.).
#  - Productive verb honorificization: nh. verb + gnang (or mdzad),
#    e.g. gtong -> gtong ba gnang; a phrase is made honorific by the
#    VERB even when the noun has no h. form (airplane example, p.96).
#
# Separate-form verb pairs (table, p.96):
# nh	h	gloss	status
nyo	gzigs	to buy	NEW SENSE for gzigs (register has gzigs=see) — seeded
nyal	gzims	to sleep	NEW — seeded
gnyid khug	mnal khug	to fall asleep	NEW (mnal) — seeded
na	snyung	to get sick	register has bsnyun — spelling/root variant, noted
za	mchod	to eat	NEW as verb (mchod) — seeded
sprod (sprad)	'bul (phul)	to give	NEW — seeded
byed	gnang / mdzad	to do	already in register (gnang, mdzad)
'gro / yong	phebs	to go, to come	already in register (phebs)
# uncertain row (print unclear in scan): one pair glossed "to act" —
# transcription unverified; check a physical copy before use.
# khong = h. "he" (p.95) — corroborates Choephel manual p.39 (proposal
# evidence updated to dual citation).
# Glossary (h.) markings: 254 occurrences across lesson vocabularies —
# future mining (needs page-by-page reading for the Tibetan).
