# Honorific verbs mined from Hackett, A Tibetan Verb Lexicon (2nd ed.
# scan, 111pp) — every entry the lexicon explicitly marks "(hon.)".
# REFERENCE FACTS with citation; candidates for the honorific register
# via the proposal channel (authority approves). Never ship verbatim
# lexicon content. Page = book page in the scan.
# wylie	gloss	base/context	book_page	notes
ljags klog	to read (hon.)	klog V (to read)	45	first syllable read from scan — verify (ljags = hon. tongue)
dgongs	to intend; intention (hon.)	bsam/sems (to think)	59	{LCh} manoratha; ALREADY IN REGISTER (dgongs/bsam)
dgyes	to please; to be pleased (hon.)	dga' (to be pleased)	60	class II; prasada, {L} anumodita, {MSA} kanta
thugs mnyes	to be pleased (hon.)	mnyes II (to please)	90	thugs = hon. mind
bka' stsal	to say; to speak (hon.)	stsol V (to grant)	147	bka' = hon. word; the sutra formula "bka' stsal pa"
zhu 'tshal	please [do X] (hon.)	'tshal II (to need)	149	polite-request auxiliary ("please listen!")
zhal gyis bzhes	to assert; to accept (hon.)	bzhed V (to assert)	157	zhal = hon. mouth/face
gshegs	to go (hon.)	'gro (to go)	170	class III; {DS} caritva; ALREADY IN REGISTER (gshegs/'gro)
# ---- strong candidates seen in the same pages, not explicitly (hon.)-marked by Hackett:
bzhed	to assert; to wish (hon. usage)	'dod (to assert/wish)	157	standard zhe-sa in philosophical prose
mjal	to meet (in person) (hon.)	'phrad (to meet)	156	"having met in person" collocation under zhu
bzhengs	to rise; to erect (hon.)	lang / rtsig	157	kings rise, statues are erected
zhu	to petition; to request; to say (to a superior)	smra (upward register)	156	humilific counterpart of gsung
