# Hackett, A Tibetan Verb Lexicon — per-verb Wilson class + stem transcription
# Facts with citation (Snow Lion; licensing note in HACKETT_VERB_LEXICON.md).
# Vision transcription 2026-08-14 (page-by-page agents, never-guess: unclear = ⟨?⟩).
# PARTIAL COVERAGE — transcribed book pages: 58-71 (11 rows salvaged), 86-105, 114-127, 142-179.
# NOT YET TRANSCRIBED (scan resists current zoom; queued for crop re-pass): pp. 31-57, 72-85, 106-113, 128-141.
# qc: cc0-corroborated = transcribed past stem folds to this present in our CC0 verb bank;
#     cc0-disagrees:X = it folds to X instead (REVIEW before use); unclear-transcription = ⟨?⟩ fields.
# book_page	head_wylie	wilson_class	stems_as_printed	hon	sanskrit	gloss_short	qc
58	gol	III	gol			to deviate	
58	grag	III	grag			to be heard	
58	grags	II	grags			to be renowned	
58	dga'	II	dga'		pra-√has	to delight	
59	dgongs	V	dgongs	hon		to intend	
59	dgos	VII	dgos			to need	
60	dgyes	II	dgyes	hon		to please	
62	'god	V	'god		prati-√sthā	to establish	
64	grub	V	grub			to fulfill	
65	'gro	III	'gro		√gam	to go	
66	rgal	V	rgal			to cross over	
86	res 'jog				to alternate		
86	'joms	V	bcom;gzhom;choms			to conquer	cc0-corroborated
86	rje	V	brjes;brje;rjes			to exchange	
86	rjed	V	brjed;brjed;rjed			to respect	
86	brjod~1	V	brjod;brjod;rjod			to speak (of)	
87	brjod~2	VIII	brjod;brjod;brjod			to be expressed (by)	
87	'bar	III	'bar;'bar;'bar			to shine	
87	brjed	II	brjed;brjed		√muṣ	to forget	
88	nyan	V	nyan;nyan;nyon			to listen	
88	nyams	III	nyams;nyams		√khand	to degenerate	
89	nyug	VI	nyugs;nyug;nyugs			to pat	cc0-corroborated
89	nye	III	nye;nye		ni-√dā	to come closer	
89	nyes	III	nyes;nyes		apa-√rādh	to harm	
89	nyo	V	nyos;nyo;nyos			to buy	cc0-corroborated
89	nyog	II	nyogs;nyog;nyogs			to be unsettled	cc0-corroborated
89	gnyer	V	gnyer;gnyer;gnyer			to look after	
89	nyan	VI	nyan;nyan;nyan			to listen (to)	
89	mnyes	II	mnyes;mnyes		√ārāg	to please	
90	skyi	V	bskyis;bskyi;skyis			to borrow	cc0-corroborated
90	skyur	VI	bskyur;bskyur;skyur			to belittle	cc0-corroborated
90	rnyed	V	brnyes;brnyed;rnyed		√śri	to obtain	
90	rnyog	III	brnyogs;brnyog			to sully	
91	sgrug⟨?⟩	V	bsgrugs⟨?⟩;bsgrug⟨?⟩;sgrugs⟨?⟩			to follow	unclear-transcription
91	sgom	III	sgoms;sgom			to consider	cc0-corroborated
91	rten	II	brten;brten;rten			to rely (upon)	cc0-corroborated
92	gtub⟨?⟩	V	btubs⟨?⟩;btub⟨?⟩;btubs⟨?⟩			to gather	unclear-transcription
92	gtud	III	gtud;gtud			to trace back to	
92	grangs	III	grangs;grangs;grangs			to be counted (among)	
92	gtang	V	btang;gtang;stong;(stongs)			to give up	cc0-disagrees:gtong
93	sdom	V	bsdoms;bsdom;sdoms			to resolve	cc0-corroborated
93	rten	II	brten;brten;rten			to rely (upon)	cc0-corroborated
93	rtog	V	brtags;brtag;rtags;(rtogs)			to impute	cc0-corroborated
94	rtogs	V	rtogs;rtogs;rtogs		abhi-√gam	to realize	
95	brtan	VI	brtan;brtan;(brtan);brtan			to rely on	
95	lta	VI	bltas;blta;ltos;(ltos)			to look (at)	cc0-corroborated
95	ltung	III	ltungs;ltung			to cast (into)	cc0-corroborated
95	ltogs	II	ltogs;ltog;ltogs			to be hungry	
95	ltos	II	bltos;ltos		√vikṣ	to be contingent (upon)	cc0-corroborated
96	sgrig	V	bsgrigs;bsgrig;sgrig;(sgrigs)			to arrange	cc0-corroborated
96	sbyar	IV	bsbyar;bsbyar;sbyar			to be compared (with)	
96	brten	V	brten;brten;brten			to dwell	
96	ster	V	ster;ster;ster			to bestow	
97	stong	IV	stongs;stong;stongs			to be empty (of)	
97	ston	V	bstan;bstan;ston			to indicate	cc0-corroborated
98	stob⟨?⟩	V	bstabs⟨?⟩;bstab⟨?⟩;stobs⟨?⟩			to offer	unclear-transcription
98	stor	V	bstor;bstor;stor			to clear	cc0-corroborated
98	bltams	III	bltams;bltams			to be born	
98	bsngags	VI	bsngags;bsngags;bsngags			to praise	
99	thar	IV	thar;thar;thar			to be freed (from)	
99	thal	III	thal;thal			to logically follow	
99	thim	III	thims;thim			to dissolve	cc0-disagrees:'thims
99	thug	III	thug;thug;thug			to be brought (to)	
99	thub~1	III	btubs;btub;thub			to be able	cc0-corroborated
99	thub~2	V	thub;thub;thub			to have power (over)	
99	thul	III	thul;thul			to be tamed	
100	thogs~1	III	thogs;thogs			to be impeded	
100	thogs~2	V	thogs;thogs;thogs			to hold	
100	thong	III	thong;thong			to be given	
100	thos	V	thos;thos;thos			to hear	
100	mthun	IV	mthun;mthun;mthun			to be in accord	
101	mthong	V	mthong;mthong;mthong		√dṛś	to see	
101	'thag	III	thag;'thag			to evaporate	cc0-corroborated
102	'thad	III	'thad;'thad;'thad			to be feasible	
102	'thab	V	'thabs;'thab;'thobs			to quarrel	cc0-corroborated
102	'thibs ('thib)	III	'thibs;'thibs;('thib)			to be covered (by)	
102	'thung	V	btungs;btung;'thungs		√pā	to drink	cc0-corroborated
102	'then	V	then;then;'then			to draw out	cc0-corroborated
102	'thebs~1	III	thebs;'theb			to throw	
103	'thebs~2	III	thebs;'thebs			to be stuck (with)	
103	'thog	V	btogs;btog;'thogs			to pick	cc0-corroborated
103	'thon	III	thon;'thon			to arise	
103	'thob	V	thob;'thob;'thobs		pra-√āp; prati-√labh	to obtain	
105	dad	II	dad;dad;dad			to have faith	
105	dar	III	dar;dar;dar		√vṛdh	to prosper	
105	dogs	II	dogs;dogs			to have a qualm	
105	drag	III	drag;drag			to recover (from illness)	
105	dran	V	dran;dran;dran		√smṛ	to practice mindfulness	
105	gdung	V	gdungs;gdung;gdungs			to torment	cc0-corroborated
105	mdud	III	mdud;mdud;mdud			to knot	
105	'dag	IV	dag;'dag			to be purified	cc0-corroborated
114	sdum	V	bsdums;bsdum;sdums			to bring about an agreement	cc0-corroborated
114	sdur	V	bsdur;bsdur;sdur			to compare	cc0-corroborated
114	sreb	V	bsrebs;bsreb;srebs			to mix	
114	sgyur	V	bsgyur;bsgyur;sgyur			to reverse	
114	sdod	II	bsdad;bsdad;sdod			to remain	cc0-corroborated
114	sdum~1	V	bsdums;bsdum;sdums			to bind	cc0-corroborated
114	sdum~2	V	bsdums;bsdum;sdums			to count	cc0-corroborated
114	brdab	III	brdabs;brdab			to hit	
115	na	III	na;na			to fall ill	
115	chud	III	chud;chud			to disappear	
115	nus	V	nus;nus;nus			to have ability	
115	rnyed	III	rnyed;rnyed			to receive	
115	dbang	III	dbang;dbang			to submit	
115	'khrul	II	'khrul;'khrul			to be wrong about	
116	gnang	V	gnang;gnang;gnongs			to make	
116	gnas	II	gnas;gnas;gnas		sam-√sthā	to abide	
117	gnod	VI	gnod;gnod;gnod		√ghat	to damage	
117	gnon	V	mnan;mnan;non			to cover	cc0-corroborated
117	mnar	II	mnar;mnar;mnar			to be tortured	
117	mna'	III	mna's;mna'		√sthā	to remain	
118	⟨?⟩	V	⟨?⟩			to give	unclear-transcription
118	brtse	V	brtsad;brtsad;brtsed			to care for	cc0-disagrees:rtsod
118	rno		rno		√tij	to be sharp	
118	snang	III	snang;snang;snang			to illuminate	
119	'byung	VI	'byung;'byung;byung			to emerge (from)	
119	snub	V	bsnubs;bsnub;snubs			to cause to disappear	cc0-corroborated
119	snon	V	bsnan;bsnan;snon			to add	cc0-corroborated
119	snams	V	bsnams;bsnam;snams			to assume	cc0-disagrees:snom
120	dpyad	V	dpyad;dpyad;dpyod			to fathom	
120	dbye	V	dbyad;dbyad;dbyod			to distinguish	
120	rgyan	V	rgyan;rgya;rgyan			to ornament	
120	brgyan	V	brgyan;brgyan;brgyan			to be adorned	
120	spel	V	spel;spel;spel		vi-√darbh	to compose	
121	spo	V	spos;spo;spos			to move	cc0-corroborated
121	spang	V	spangs;spang;spangs		√vraj	to abandon	cc0-disagrees:spong
122	spyad	V	spyad;spyad;spyod			to act	
122	spras	V	spras;spras;spras			to be adorned	
123	sprul	V	sprul;sprul;sprul			to manifest	
123	spro	V	spros;spro;spros			to elaborate upon	
123	spro	II	spro;spro			to be enthusiastic	
123	sprod	V	sprad;sprad;sprod			to meet	cc0-corroborated
124	yar	III	yar;yar			to help	
124	phud	III	phud;phud			to be cast out	
124	yed	V	yed;yed;yed			to change	
124	yang	III	yang;yang			to hit	
124	yang	IV	yangs;yang			to be bereft of	
124	'byed	III	'byed;'byed			to distinguish	
124	'gyangs	III	'gyangs;'gyangs			to turn to	
124	bral	V	bral;bral;bral			to separate	
124	'phags	IV	'phags;'phag;'phags			to be elevated	
125	pham	II	pham;dpham;phams			to be defeated	
125	rgud	III	rgud;'gyud			to degenerate	
125	'phur~1	III	'phur;'phur			to fly	
125	'phur~2	V	phur;'phur;phur			to rub	cc0-corroborated
125	'phen	V	'phangs;'phang;'phongs		√yudh	to impel	cc0-corroborated
125	'phel	III	'phel;'phel			to accumulate	
125	'pho	III	'phos;'pho;'phos			to pass on to	cc0-corroborated
125	'phod	V	phod;'phod;phod			to be capable of	cc0-corroborated
126	'thur	V	thur;'thur;thur			to raise up	
126	'thu	III	'thus;'thu			to occur	
126	brgyun	V	brgyun;brgyun;brgyun			to dress-up	
126	'thad	IV	thad;'thad;thad			to meet with	
126	'thi	V	this;'thi;this			to take away	
126	'thum	V	'thums;'thum;thums			to scratch	
126	'thor	III	'thor;'tho;thor			to radiate	
127	'thung	V	thungs;'thung;thungs			to steal	cc0-corroborated
127	'thug	III	thug;'thug			to have met	
142	med	I	med;med			to not be	
142	med~1	II	med;med			to not exist	
142	med~2	IV	med;med			to lack	
142	med~3	VIII	med;med			to be without	
142	mos	II	mos;mos;mos		adhi-√muc	to imagine	
142	myong	V	myangs;myong;myongs		sam-√vid	to experience	cc0-corroborated
143	dma'	II	dma';dma'			to be base	
143	dmigs	VI	dmigs;dmigs;dmigs			to focus (on)	
143	⟨?⟩	V	⟨?⟩;⟨?⟩;⟨?⟩			to smile	unclear-transcription
143	rmongs	II	rmongs;rmongs			to be confused	
143	phan	III	phan;phan;phan			to be of benefit	
143	smin	III	smin;smin;smin			to prepare	
144	smod	VI	smod;smod;smod			to deprecate	
144	smon	VI	smon;smon;smon			to aspire	
144	sgros⟨?⟩	V	sgros⟨?⟩;sgros⟨?⟩;sgros⟨?⟩		√path	to assert	unclear-transcription
145	smyon	II	smyon;smyo			to be insane	
145	smra	V	smra;smra;smra			to say	
146	gnod	V	gnods;gnod;gnods			to harm	
146	btsa'	V	btsas;btsa';btsas		pra-√sū	to look out (for)	cc0-corroborated
146	dbang	IV	dbang;dbang			to have power	
146	rtsi	V	brtsis;brtsi;rtsis			to calculate	cc0-corroborated
146	rtse	V	brtses;brtse;rtses		√krīḍ	to frolic	
146	rtsed	III	rtsed;rtsed		√krīḍ	to play	
146	rtsod	V	brtsod;brtsod;rtsod		vi-√vad	to disagree	
146	rtsom	V	brtsams;brtsam;rtsoms			to compose	cc0-corroborated
147	rtsol	V	brtsol;brtsol;rtsol			to make effort	
147	stsal	V	brtsal;brtsal;stsal			to grant	cc0-disagrees:rtsol
147	brtse	II	brtse;brtse			to feel mercy	
147	brtson	VI	brtson;brtson;brtson			to make effort	
148	tshang	II	tshang;tshang			to be complete	
148	tshims	II	tshims;tshim;tshims			to cause to be satisfied	
148	tshugs	V	tshugs;tshugs;tshugs			to harm	
148	tshud	III	tshud;tshud			to enter	
148	tshogs	III	tshogs;tshogs			to hold	
148	tshor	III	tshor;tshor;tshor			to experience	
148	mtshan	V	mtshan;mtshan;mtshan			to mark	
148	mtshar	III	mtshar;mtshar;mtshar			to be amazing	
148	mtshungs	IV	mtshungs;mtshungs			to be similar	
149	mtshon	V	mtshon;mtshon;mtshon			to indicate	
149	'dzag~1	V	btsags;btsag;tsags			to strain	cc0-disagrees:'tshag
149	'dzag~2	V	'dzags;'dzag;'dzogs			to collect	
149	'dzad~1	III	'dzads;'dzad			to arrive (by force)	
149	'dzad~2	V	btsad;btsad;tsad			to force (into)	
149	'tshal~1	V	btsal;btsal;'tshal			to do	
149	'tshal~2	II	'tshal;'tshal			to need (to do X)	
149	btsig	V	tshig;'tshig;'tshigs			to burn	cc0-disagrees:'tshig
150	'tse	V	btses;gtse;gtses			to cause harm	cc0-disagrees:'tshe
150	'tsho	II	'tsho;'tsho;'tsho		√jīv	to live	
150	'tsog~1	V	btsogs;btsog;'tsogs			to spit (out)	cc0-disagrees:'tshog
150	'tsog~2	V	'tsogs;'tsog;'tsogs			to cause to come together	
150	'tsong	V	btsongs;btsong;tshong			to sell	cc0-disagrees:'tshong
150	'tso	V	btsos;btso;tshos		MV pākya	to boil	
150	'tsol	V	btsol;btsol;tshol		LCh eṣaṇa	to seek	
151	mdzad	V	mdzad;mdzad;mdzad			to do	
151	mdzes	V	mdzes;mdzes;mdzes		√śubh	to ornament	
151	zag	III	zag;'zag;zags			to emit	
151	zad	III	zad;'zad		Das kṣaya	to be finished	
152	zad	V	(ze);zes;zad			to waste	
152	'dzang	III	'dzang;'dzang			to hang (down)	
152	'dzing~1	III	'dzings;'dzing			to be mixed up	cc0-corroborated
