# Causative/inchoative verb pairs with Wilson classes — transcribed from
# Hackett, A Tibetan Verb Lexicon, Table 2 (p.7), who reproduces Sarat
# Chandra Das's semantic pairs with Wilson class assignments.
# REFERENCE FACTS with citation; in-house layer, never presented as HGM.
# not_different(tha_mi_dad)	class	basic_meaning	different(tha_dad)	class
skye	III	born, birth	skyed	V
'khum	III	shrink	skum	V
'khod	III	sit, settle	'god	V
'khor	III	circle, turn	skor	V
'gas	III	crack, break	'gas	V
'gag	III	hinder	'gog	V
'gum	III	extinguish	'gums	V
'gul	III	shake, disturb	sgul	V
'gyur	III	change	sgyur	V
'gyes	III	diffuse	'gyed	V
'gyel	III	fall, overturn	sgyel	V
'grig	III	agree, arrange	sgrig	V
'grib	III	darken, obstruct	sgrib	V
'gril	III	roll, wrap	sgril	V
'grub	III	accomplish	sgrub	V
'greng	III	arise, raise	sgreng	V
grol	IV	loosen, separate	sgrol	V
chag	III	broke, break	gcog	V
'chad	III	cut, dissolve	'chad	V
'thon	III	utter, issue	'don	V
'du	III	gather	sdud	V
'dum	III	agree	sdum	V
nub	III	diminish	snub	V
'phel	III	increase	spel	V
'pho	III	change	spo	V
'bab	III	fall, drop	'bebs	V
'byung	III	come forth	'byin	V
'bye	III	open	'byed	V
'bral	IV	separate	phral	V
'bri	III	reduce	'phri	V
'dzag	III	fall down, filter	'tshag	V
