# Honorific (zhe sa) register — see README.md; level column: honorific | high (high pending HGM marking)
# honorific_wylie	ordinary_wylie	domain	level
gsung	smra	to speak / speech	honorific
gzigs	mthong	to see	honorific
mkhyen	shes	to know	honorific
thugs	sems	mind	honorific
sku	lus	body	honorific
phyag	lag pa	hand	honorific
spyan	mig	eye	honorific
zhabs	rkang pa	foot	honorific
dbu	mgo	head	honorific
zhal	kha	mouth / face	honorific
snyan	rna ba	ear	honorific
phebs	'gro	to go / come	honorific
bzhugs	sdod	to sit / stay	honorific
gsol	za	to eat / drink / wear	honorific
mnga'	yod	to have / possess	honorific
'khrungs	skye	to be born	honorific
dgongs	bsam	to think / intend	honorific
bka'	tshig	word / speech	honorific
gdan	stan	seat	honorific
gshegs	'gro	to go / depart	honorific
bsnyun	na	to be ill	honorific
mdzad	byed	to do / act	honorific
gnang	byed	to do / give	honorific
sku mdun	mdun	presence (before someone)	honorific
zhal snga nas	mdun nas	in the presence of (high)	high
thugs rje	snying rje	compassion	honorific
phyag 'tshal		to prostrate	honorific
