# Honorific findings from Choephel, Manual of Authentic Tibetan
# (Thosamling Nunnery, Dharamsala, 2018; endorsed by Ulrike Roesler,
# Professor of Tibetan and Himalayan Studies, Oxford; hosted publicly
# at freetibet.org). MODERN COLLOQUIAL register — honorific VOCABULARY
# transfers to the classical register; tonal pronunciations do NOT.
# Facts with citation; in-house reference. Page = book page.
# wylie	plain_counterpart	gloss	page	status
khong	kho rang / mo rang	he/she (honorific pronoun)	39	NEW — seeded as proposal
mtshan	ming	name (H)	46	NEW — seeded as proposal
mjal	thug	to meet (H)	46	NEW — seeded (DUAL source: also Hackett p.156)
phebs	'gro / yong	to go/come (H); goodbye (said by one staying)	42	already in register
bzhugs (zhugs)	sdod	to stay/sit (H); goodbye (said by one leaving)	42	already in register (bzhugs)
'khrungs	skyes	to be born (H)	54	already in register
gsung	lab / bshad	to say (H)	45	already in register
sku	gzugs po / lus	body (H); also = statue	43	already in register
# honorific COMPOUNDS attested (derivable from sku, banked as usage evidence):
sku gzugs		body / health (H) — sku gzugs bde po yin pas = How are you? (H)	42	compound
sku khams		health (H) — sku khams bzang = Hello (H)	46	compound
sku par	par	photograph (H)	64	compound
'khrungs skar	skye skar	birthday (H)	54	compound
sku srung		bodyguard (H compound)	43	compound
# grammar notes: lags = polite particle with copula (p.40 area);
# pronouns split into less/more polite tiers (p.39, p.74-75)
