# Colloquial / community pronunciation register — see README.md
# colloquial	wylie	gmr_pron	class
tulku	sprul sku	trulku	community
gonpa	dgon pa	gunpa	community
gompa	dgon pa	gunpa	community
chenrezig	spyan ras gzigs	chenre sik	community
chenrezi	spyan ras gzigs	chenre sik	community
geshe	dge bshes	geshe	community
rinpoche	rin po che	rinpo che	community
lama	bla ma	lama	community
kagyu	bka' brgyud	kagyu	community
nyingma	rnying ma	nyingma	community
gelug	dge lugs	geluk	community
geluk	dge lugs	geluk	community
gelugpa	dge lugs pa	gelukpa	community
sakya	sa skya	sakya	community
chorten	mchod rten	chuten	community
torma	gtor ma	torma	community
tsampa	rtsam pa	tsampa	community
khata	kha btags	katak	community
katag	kha btags	katak	community
drolma	sgrol ma	drulma	community
dolma	sgrol ma	drulma	community
bardo	bar do	bardo	community
thangka	thang ka	tangka	community
tanka	thang ka	tangka	community
thanka	thang ka	tangka	community
tummo	gtum mo	tummo	community
phowa	'pho ba	powa	community
powa	'pho ba	powa	community
dzogchen	rdzogs chen	dzokchen	community
ngondro	sngon 'gro	ngunndro	community
nundro	sngon 'gro	ngunndro	community
terma	gter ma	terma	community
terton	gter ston	terton	community
lojong	blo sbyong	lojong	community
shine	zhi gnas	shi-ne	community
lhasa	lha sa	hlasa	community
lung	rlung	lung	community
dorje	rdo rje	doje	community
dorjee	rdo rje	doje	community
kangyur	bka' 'gyur	kangyur	community
tengyur	bstan 'gyur	tenngyur	community
tsongkhapa	tsong kha pa	tsongkapa	community
tsongkapa	tsong kha pa	tsongkapa	community
amdo	a mdo	ando	community
kham	khams	kam	community
changchub	byang chub	jangchub	community
jangchub	byang chub	jangchub	community
khenpo	mkhan po	kenpo	community
khempo	mkhan po	kenpo	community
chod	gcod	chu	community
gyalwa	rgyal ba	gyelwa	community
gyaltsen	rgyal mtshan	gyeltsen	community
gyaltsan	rgyal mtshan	gyeltsen	community
wangchuk	dbang phyug	wangchuk	community
wangchug	dbang phyug	wangchuk	community
yidam	yi dam	yidam	community
gendun	dge 'dun	gendun	community
sempa	sems dpa'	sempa	community
kamdir	skabs 'dir	kabdir	prenasal-derived
kamdir ngu-su tenpay tsennyi ngowo nyimepay dun	skabs 'dir dngos su bstan pa'i mtshan nyid ngo bo nyid med pa'i don	kabdir ngu-su tenpay tsennyi ngowo nyimepay dun	prenasal-derived
kamdir ten	skabs 'dir bstan	kabdir ten	prenasal-derived
kamdir ten gyi yingun	skabs 'dir bstan gyi yid mngon	kabdir ten gyi yingun	prenasal-derived
kyamdroy dompa	skyabs 'gro'i sdom pa	kyabdroy dompa	prenasal-derived
kyamjuk	khyab 'jug	kyabjuk	prenasal-derived
kyamjukpa	khyab 'jug pa	kyabjukpa	prenasal-derived
kyamdrel	khyab 'brel	kyabdrel	prenasal-derived
drumjuk gi lo	grub 'jug gi blo	drupjuk gi lo	prenasal-derived
drumjuk	sgrub 'jug	drubjuk	prenasal-derived
drumjuk gi gangsak	sgrub 'jug gi gang zag	drubjuk gi gangsak	prenasal-derived
drumjuk gi lo	sgrub 'jug gi blo	drubjuk gi lo	prenasal-derived
tomgyur	thob 'gyur	topgyur	prenasal-derived
tomgyur te	'thob 'gyur te	tobgyur te	prenasal-derived
tomdu kyi depa	'thob 'dod kyi dad pa	tobdu kyi depa	prenasal-derived
tomdu kyi dunpa	'thob 'dod kyi 'dun pa	tobdu kyi dunpa	prenasal-derived
tomdupay depa	'thob 'dod pa'i dad pa	tobdupay depa	prenasal-derived
