acip_input_code,gmr_reading,occurrences,courses,differs_from_plain_strip
om%,om,718,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
hu#m%,hung,476,TCS04Initiation TCS04Mantras TCS04PrayerBook,yes
sva#,sva,304,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
ha#,ha,304,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
vajra,vajra,233,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
a#:,ah,185,TCS04Initiation TCS04Mantras TCS04PrayerBook,yes
phat%,phet,168,TCS04Initiation TCS04Mantras TCS04PrayerBook,yes
sapariva#ra,saparivara,135,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
sarva,sarva,116,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
praticcha,praticha,113,TCS04Initiation TCS04Mantras TCS04PrayerBook,yes
svabha#va,svabhava,105,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
bhyo:,bhyoh,102,TCS16KaliWang,yes
ka#lidevi,kalidevi,75,TCS04Mantras TCS04PrayerBook TCS16KaliWang,no
hri#:,hrih,71,TCS04Initiation TCS04Mantras TCS04PrayerBook,yes
ragmo,rakmo,69,TCS16KaliWang,yes
gandhe,gandhe,59,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
prati#cchaye,pratichaye,57,TCS16KaliWang,yes
s%t%ri#:,shtrih,55,TCS04Initiation TCS04Mantras TCS04PrayerBook,yes
pus%t%im%,pushtim,54,TCS04Mantras TCS16KaliWang,yes
shri#devi,shridevi,53,TCS16KaliWang,no
s*a#ntim%,shantim,52,TCS16KaliWang,yes
argham%,argham,49,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
pus%pe,pushpe,49,TCS04Initiation TCS04Mantras TCS04PrayerBook,yes
dhu#pe,dhupe,49,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
yogini#,yogini,49,TCS07 TCS08PabongkaSadhana,no
vas*am%karama,vashankarama,47,TCS16KaliWang,yes
nakmo,nakmo,47,TCS16KaliWang,no
rakmo,rakmo,47,TCS16KaliWang,no
sapa#rivara,saparivara,46,TCS07,no
vikr%ta#nana,vikirta-anana,45,TCS04Initiation TCS04Mantras TCS04PrayerBook,yes
yama#ntaka,yamantaka,44,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
shabda,shabda,43,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
pa#dyam%,padyam,42,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
