# Whitney root layer — see data/whitney/README.md for provenance and caveats
# id	root	homonym	meaning	classes	class_uncertain	ppp	grammar_secs	dcs_classes	mw_id	senses	notes
1	aṃh		be narrow or distressing				—	class 1 (Ā)		To send	Not found in Grammar text.
2	akṣ	1	attain	I			§734 · §343h · §431 · §431a · …+4	class 5 (P)	423	to reach, RV. x, 22, 11 / To reach.	Class from Roots only; not mentioned in Grammar class chapters.
3	akṣ	2	mutilate	V			§734 · §343h · §431 · §431a · …+4	class 5 (P)	423	to reach, RV. x, 22, 11 / To reach.	Class from Roots only; not mentioned in Grammar class chapters.
4	aṅg		move	I			§734	class 1 (P)	1492	to go (cf. √ ag)	Class from Roots only; not mentioned in Grammar class chapters.
5	ac		bend	I		akná	§734 · §381a · §390b · §409d · …+13	—	1767	to go, move, tend	Class from Roots only; not mentioned in Grammar class chapters.
6	aj		drive	I		-	§734 · §216b · §219a · §788a · …+4	class 1 (Ā)	1927	to drive, propel, throw, cast: Desid. ajijizati, to be desirous of drivi	Class from Roots only; not mentioned in Grammar class chapters.
7	añj		anoint	I|VII		aktá	§694 ✦ · §769 ✦ · §683a · §734 · §219a · §788a · §954a · …+1	class 1 (Ā)	2267	to apply an ointment or pigment, smear with, anoint	
8	aṭ		wander	I		aṭita	§734 · §956a	class 1 (Ā)	2337	to roam, wander about (sometimes with acc.	Class from Roots only; not mentioned in Grammar class chapters.
9	aṇṭh		visit	VI		aṇṭhita	§751	class 1 (Ā)	2447	to go, move, tend, L.	Class from Roots only; not mentioned in Grammar class chapters.
10	at		wander	I		-	§1046c ⚠ · §619 ✦ · §648 ✦ · §692a ✦ · §693a ✦ · §716a ✦ · §1056 ✦ · §1057 ✦ · §734 · §151a · §307f · §314 · …+176	class 1 (Ā)	2490	to go constantly, walk, run, RV. / To go, walk	
11	ad		eat	I|II			§610 ⚠ · §621c ✦ · §1042g ✦ · §734 · §155e · §524 · §1222h · …+25	class 2 (Ā)	3575	to eat, consume, devour, Ved. Inf. a/ttave, RV. : Caus. Ada/yati and ˚te	
12	an		breathe	I|II|VI			§637 ⚠ · §655a ⚠ · §676b ⚠ · §744 ⚠ · §762 ⚠ · §615 ✦ · §621 ✦ · §624 ✦ · §626 ✦ · §631 ✦ · §631a ✦ · §632 ✦ · §633 ✦ · §637b ✦ · §640 ✦ · §646 ✦ · §665a ✦ · §673 ✦ · §687 ✦ · §693 ✦ · §713 ✦ · §715c ✦ · §722 ✦ · §725 ✦ · §732 ✦ · §733 ✦ · §733a ✦ · §738 ✦ · §752g ✦ · §753c ✦ · §761g ✦ · §768 ✦ · §778a ✦ · §780 ✦ · §1043d ✦ · §1046b ✦ · §1048 ✦ · §1054 ✦ · §1056 ✦ · §1057a ✦ · §1059c ✦ · §1060 ✦ · §643d · §717 · §735b · §761c · §775 · §1041c · §104c · §133 · §134 · …+551	class 1 (P)	4782	to breathe, respire, gasp / To breathe	
13	am		be injurious or sick	I|II		ānta	§763 ⚠ · §634 ✦ · §733 ✦ · §1051a ✦ · §1051d ✦ · §734 · §327b · §327f · §348 · …+58	class 2 (Ā)	13748	to go, L. / To go	
14	ay		go				§1051d ✦ · §501 · §502 · §131 · …+13	—			
15	arc		praise	I		arcita	§734 · §1153a · §159 · §595e · …+9	class 1 (Ā)	15701	to shine, be brilliant, RV. / (	Class from Roots only; not mentioned in Grammar class chapters.
16	arj		procure				§788b · §1316a	—	15739	to procure, acquire, Naiṣ. & Bhaṭṭ. : Ā. arjate, to go, L., to stand fir	
17	art		fall				§271e · §274d · §286c · …+4	—			
18	arh		deserve	I			§734 · §788a · §862 · §981a · …+3	class 1 (Ā)	16483	to deserve, merit, be worthy of, to have a claim to, be entitled to (acc	Class from Roots only; not mentioned in Grammar class chapters.
19	av		favor	I			§734 · §908 · §1120 · §131 · …+19	class 1 (Ā)	16938	to drive, impel, animate (as a car or horse), RV.	Class from Roots only; not mentioned in Grammar class chapters.
20	aś	1	attain	V	IX		§703a ✦ · §717 · §113b · §788a · §803a · …+14	class 1 (P), class 1 (Ā)		To eat, to consume	
21	aś	2	eat	I|IX		aśitá	§703a ✦ · §717 · §113b · §788a · §803a · …+14	class 1 (P), class 1 (Ā)		To eat, to consume	
22	as	1	be	II			§625a ⚠ · §636 ⚠ · §639 ⚠ · §659a ⚠ · §669 ⚠ · §685 ⚠ · §687 ⚠ · §714 ⚠ · §715b ⚠ · §738b ⚠ · §749 ⚠ · §754 ⚠ · §1042b ⚠ · §1047 ⚠ · §613 ✦ · §614 ✦ · §617 ✦ · §620 ✦ · §621c ✦ · §634 ✦ · §635 ✦ · §636a ✦ · §636d ✦ · §638 ✦ · §639a ✦ · §641 ✦ · §645a ✦ · §646 ✦ · §647 ✦ · §648 ✦ · §651 ✦ · §653b ✦ · §656 ✦ · §660 ✦ · §667 ✦ · §668 ✦ · §668a ✦ · §670 ✦ · §671 ✦ · §672 ✦ · §676 ✦ · §677 ✦ · §686 ✦ · §688 ✦ · §689 ✦ · §690 ✦ · §691 ✦ · §695 ✦ · §698b ✦ · §701 ✦ · §702 ✦ · §703 ✦ · §704 ✦ · §706a ✦ · §711 ✦ · §713 ✦ · §715 ✦ · §716 ✦ · §722 ✦ · §725 ✦ · §726 ✦ · §726a ✦ · §731 ✦ · §733 ✦ · §738 ✦ · §740 ✦ · §741a ✦ · §745g ✦ · §746 ✦ · §752g ✦ · §753a ✦ · §753b ✦ · §753c ✦ · §756 ✦ · §757 ✦ · §758 ✦ · §759 ✦ · §761e ✦ · §761f ✦ · §761g ✦ · §762 ✦ · §766 ✦ · §770 ✦ · §771b ✦ · §778c ✦ · §779a ✦ · §780 ✦ · §781 ✦ · §1042d ✦ · §1043 ✦ · §1043a ✦ · §1043d ✦ · §1044 ✦ · §1045a ✦ · §1046b ✦ · §1046c ✦ · §1049 ✦ · §1051 ✦ · §1051a ✦ · §1051f ✦ · §1054 ✦ · §1055a ✦ · §1056 ✦ · §1057a ✦ · §1059f ✦ · §1060 ✦ · §643d · §644 · §697a · §721 · §735b · §737 · §752b · §761b · §761c · §774 · §775 · §1041b · §1042 · §101 · §112a · §120 · …+1200	class 4 (Ā), class 2 (P)	20353	to be, live, exist, be present	
23	as	2	throw	I|IV		asta	§625a ⚠ · §636 ⚠ · §639 ⚠ · §659a ⚠ · §669 ⚠ · §685 ⚠ · §687 ⚠ · §714 ⚠ · §715b ⚠ · §738b ⚠ · §749 ⚠ · §754 ⚠ · §1042b ⚠ · §1047 ⚠ · §613 ✦ · §614 ✦ · §617 ✦ · §620 ✦ · §621c ✦ · §634 ✦ · §635 ✦ · §636a ✦ · §636d ✦ · §638 ✦ · §639a ✦ · §641 ✦ · §645a ✦ · §646 ✦ · §647 ✦ · §648 ✦ · §651 ✦ · §653b ✦ · §656 ✦ · §660 ✦ · §667 ✦ · §668 ✦ · §668a ✦ · §670 ✦ · §671 ✦ · §672 ✦ · §676 ✦ · §677 ✦ · §686 ✦ · §688 ✦ · §689 ✦ · §690 ✦ · §691 ✦ · §695 ✦ · §698b ✦ · §701 ✦ · §702 ✦ · §703 ✦ · §704 ✦ · §706a ✦ · §711 ✦ · §713 ✦ · §715 ✦ · §716 ✦ · §722 ✦ · §725 ✦ · §726 ✦ · §726a ✦ · §731 ✦ · §733 ✦ · §738 ✦ · §740 ✦ · §741a ✦ · §745g ✦ · §746 ✦ · §752g ✦ · §753a ✦ · §753b ✦ · §753c ✦ · §756 ✦ · §757 ✦ · §758 ✦ · §759 ✦ · §761e ✦ · §761f ✦ · §761g ✦ · §762 ✦ · §766 ✦ · §770 ✦ · §771b ✦ · §778c ✦ · §779a ✦ · §780 ✦ · §781 ✦ · §1042d ✦ · §1043 ✦ · §1043a ✦ · §1043d ✦ · §1044 ✦ · §1045a ✦ · §1046b ✦ · §1046c ✦ · §1049 ✦ · §1051 ✦ · §1051a ✦ · §1051f ✦ · §1054 ✦ · §1055a ✦ · §1056 ✦ · §1057a ✦ · §1059f ✦ · §1060 ✦ · §643d · §644 · §697a · §721 · §735b · §737 · §752b · §761b · §761c · §774 · §775 · §1041b · §1042 · §101 · §112a · §120 · …+1200	class 4 (Ā), class 2 (P)	20354	to throw, cast, shoot at (loc. dat., or gen.), RV. &c.	
24	ah		say				§798a · §801a · §159 · …+9	class 1 (P)		To say, speak, mention.	
25	āñch		pull	I			§734 · §1071d	class 1 (P)			Class from Roots only; not mentioned in Grammar class chapters.
26	āp		obtain	V		āptá	§702a ✦ · §703a ✦ · §705 ✦ · §768 ✦ · §1047 ✦ · §698a · §151e · §783d · §1029b · …+12	class 1 (Ā)	24743	to reach, overtake, meet with, fall upon, RV. / To obtain, attain, get	
27	ār		praise	IV		āritá	§761 · §370 · §135a · §137a · …+8	class 1 (P), class 4 (P)	25983	to praise, RV. viii, 16, 6 and x, 48, 3 (perhaps connected with √ f).	Class from Roots only; not mentioned in Grammar class chapters.
28	ās		sit	I|II|IV		āsitá	§612 ⚠ · §619c ⚠ · §628 ⚠ · §614 ✦ · §617a ✦ · §620a ✦ · §636c ✦ · §734 · §761 · §353a · §496a · §800h · …+34	class 1 (Ā), class 4 (P)	27851	to sit, sit down, rest, lie, RV. / To sit, lie, rest	
29	i	1	go	I|IV|V		itá	§612 ⚠ · §631 ⚠ · §643c ⚠ · §682 ⚠ · §709 ⚠ · §755 ⚠ · §1047 ⚠ · §614 ✦ · §617a ✦ · §619 ✦ · §620a ✦ · §630 ✦ · §640 ✦ · §655 ✦ · §660 ✦ · §661 ✦ · §665 ✦ · §666 ✦ · §680 ✦ · §716a ✦ · §761f ✦ · §761g ✦ · §770a ✦ · §1042d ✦ · §1042h ✦ · §1049 ✦ · §1050 ✦ · §1051a ✦ · §1059d ✦ · §643b · §643d · §1042a · §734 · §128 · §216d · §244 · …+360	class 5 (P), class 9 (P)	28539	to go, walk	
30	i	2	send	I|V|IX			§612 ⚠ · §631 ⚠ · §643c ⚠ · §682 ⚠ · §709 ⚠ · §755 ⚠ · §1047 ⚠ · §614 ✦ · §617a ✦ · §619 ✦ · §620a ✦ · §630 ✦ · §640 ✦ · §655 ✦ · §660 ✦ · §661 ✦ · §665 ✦ · §666 ✦ · §680 ✦ · §716a ✦ · §761f ✦ · §761g ✦ · §770a ✦ · §1042d ✦ · §1042h ✦ · §1049 ✦ · §1050 ✦ · §1051a ✦ · §1059d ✦ · §643b · §643d · §1042a · §734 · §128 · §216d · §244 · …+360	class 5 (P), class 9 (P)	28539	to go, walk	
31	iṅg		stir	I		iṅgita	§734	class 4 (Ā)	28638	to go, go to or towards	Class from Roots only; not mentioned in Grammar class chapters.
32	ich		seek				§1316a	—			
33	iṭ		err				—	—	28677	to go	Not found in Grammar text.
34	iḍ		praise				§171c	—			
35	idh		kindle	I		iddhá	§734 · §151a · §160c · §1239c · …+1	—			Class from Roots only; not mentioned in Grammar class chapters.
