change,wylie,acip,tibetan_generated,english,kind,depth,occurrences,courses,refs
new headword,"[iv.249-52] gngsde pa gzhan ni dmyal ba myong bar 'gyur ba'i las de nag po dang , 'dod pa'i 'gro ba gzhan myong bar 'gyur ba'i las ni dkar gnag gnyis ka'i las su rig go zhes zer, yang sde pa gzhan ni mthong bas spang bar bya ba'i las de gnag pa dang , 'dod pa las skyes pa gzhan dkar gnag gnyis ka'i las su 'dod do",,,"According to the claim of certain other groups, deeds which bring one an experience in the hells are to be understood as the ""black"" ones. And those that bring one an experience in some other birth in the desire realm are to be understood as the two: as deeds that are both white and black. Still other groups assert that those kinds of deeds which the path of seeing eliminates are the black ones, while the other deeds that come from the desire are both white and black. We turn next to our fifth group of deeds, which includes those divided on the basis of the person who possesses them. ********* 72 Three Types of Each Path of Action",translation,1,1,C05,C05:326
new headword,"gzhan ni dmyal ba myong 'gyur dang , ,'dod gzhan myong 'gyur gnyis su rig,gzhan ni mthong bas spang bya gnag,'dod pa las skyes gzhan dkar",,གཞན་ནི་དམྱལ་བ་མྱོང་འགྱུར་དང། ། འདོད་གཞན་མྱོང་འགྱུར་གཉིས་སུ་རིག། གཞན་ནི་མཐོང་བས་སྤང་བྱ་གནག། འདོད་པ་ལས་སྐྱེས་གཞན་དཀར,"According to others, understood as those For a hell experience, the two for other desire. Others, what seeing eliminates is black; White and black, others that come from desire.",translation,1,1,C05,C05:325
new headword,"sbyor ba rtsa ba gsum las skyes, ,de yi mjug thogs las byung phyir, ,brnab sems sogs rtsa gsum las skyes, ,dge ba sbyor dang mjug bcas rnams, ,chags sdang gti mug med las skyes",,སྦྱོར་བ་རྩ་བ་གསུམ་ལས་སྐྱེས། ། དེ་ཡི་མཇུག་ཐོགས་ལས་བྱུང་ཕྱིར། ། བརྣབ་སེམས་སོགས་རྩ་གསུམ་ལས་སྐྱེས། ། དགེ་བ་སྦྱོར་དང་མཇུག་བཅས་རྣམས། ། ཆགས་སྡང་གཏི་མུག་མེད་ལས་སྐྱེས,"The undertakings come from the root three. Because they occur just subsequent to them, Coveting and the rest come from these three. The virtues, with undertaking and conclusion, From no desire, dislike, ignorance.",translation,1,1,C05,C05:327
new rendering,'gro ba,'GRO BA,འགྲོ་བ,birth,translation,5,1,C05,C05:326
new rendering,bcas,BCAS,བཅས,with,translation,5,1,C05,C05:327
new rendering,gnyis ka,GNYIS KA,གཉིས་ཀ,two,translation,5,1,C05,C05:326
new rendering,spang bya,SPANG BYA,སྤང་བྱ,eliminates,translation,5,1,C05,C05:325
new rendering,rig,RIG,རིག,understood,translation,5,2,C05,C05:325 C05:326
new rendering,sbyor ba,SBYOR BA,སྦྱོར་བ,undertakings,translation,5,1,C05,C05:327
new rendering,brnab sems,BRNAB SEMS,བརྣབ་སེམས,Coveting,translation,5,1,C05,C05:327
new rendering,dkar,DKAR,དཀར,White,translation,5,1,C05,C05:325
new rendering,mjug thogs,MJUG THOGS,མཇུག་ཐོགས,just subsequent,translation,5,1,C05,C05:327
new rendering,sde pa,SDE PA,སྡེ་པ,groups,translation,5,1,C05,C05:326
new headword,spang bar bya ba,SPANG BAR BYA BA,སྤང་བར་བྱ་བ,eliminates,translation,5,1,C05,C05:326
new rendering,yang,YANG,ཡང,Still,translation,6,1,C05,C05:326
new rendering,dang,,དང,while,translation,6,1,C05,C05:326
