# *Tibetan Literature: Studies in Genre* (Cabezón & Jackson, eds., Snow Lion 1996)
# Chapter enumeration recovered 2026-08-15 from THL's legacy book reader
# (the sweep's documented GAP: the reader is a JS app; the contents page
#  lives at book_reader.php?url=/studies-in-genres/a2/ — reader keys below)
# key	title	author	page
a1	Verso Page		5
a2	Contents (full)		5
a3	Dedication		7
a4	Acknowledgments		10
a5	Editors' Introduction, p.11 var id2hl = null; Chapters History and Biography “Tibetan Historiography,	Leonard W	11
b2	The Lives of Indian Buddhist Saints: Biography, Hagiography and Myth ,	James Burnell Robinson	57
b3	A Brief History of the Tibetan bKa' 'gyur ,	Paul Harrison	70
b4	The Canonical Tantras of the New Schools,	Tadeusz Skorupski	95
b5	Sūtra Commentaries in Tibetan Translation ,	Jeffrey D	111
b6	Tibetan Commentaries on Indian Śāstras,	Joe Bransford Wilson	125
b7	The Literature of Bon ,	Per Kvaerne	138
b8	Drawn from the Tibetan Treasury: The gTer ma Literature,	Janet B	147
b9	The Tibetan Genre of Doxography: Structuring a Worldview,	Jeffrey Hopkins	170
b10	bsDus grwa Literature,	Shunzo Onoda	187
b11	Debate Manuals (Yig cha) in dGe lugs Monastic Colleges,	Guy Newland	202
b12	Polemical Literature (dGag lan),	Donald S	217
b13	The bsTan rim ("Stages of the Doctrine") and Similar Graded Expositions of the Bodhisattva's Path,	David Jackson	229
b14	Mental Purification (Blo sbyong): A Native Tibetan Genre of Religious Literature,	Michael J	244
b15	The Metaphors of Liberation: Tibetan Treatises on Grounds and Paths,	Jules B	261
b16	gDams ngag: Tibetan Technologies of the Self,	Matthew Kapstein	275
b17	Literature on Consecration (Rab gnas),	Yael Bentor	290
b18	Offering (mChod pa) in Tibetan Ritual Literature,	John Makransky	312
b19	Sādhana (sGrub thabs): Means of Achievement for Deity Yoga,	Daniel Cozort	331
b20	Firm Feet and Long Lives: The Zhabs brtan Literature of Tibetan Buddhism ,	José Ignacio Cabezón	344
b21	The Gesar Epic of East Tibet ,	Geoffrey Samuel	358
b22	Poetry" in Tibet: Glu, mGur, sNyan ngag and "Songs of Experience",	Roger R	368
b23	Tibetan Belles-Lettres: The Influence of Daṇḍin and Kṣemendra ,	Leonard W	393
b24	The Tibetan Novel and Its Sources ,	Beth Newman	411
b25	Influence of Indian Vyākaraṇa on Tibetan Indigenous Grammar,		422
b26	Tibetan Legal Literature: The Law Codes of the dGa' ldan pho brang ,	Rebecca R	438
b27	The Origin of the rGyud bzhi: A Tibetan Medical Tantra,	Todd Fenner	458
b28	Tibetan Literature on Art ,	Erberto Lo Bue	470
b29	Itineraries to Sambhala ,	John Newman	485
b30	Tables of Contents (dKar chag),” by Dan Martin, p.500 var id2hl = null; Back Sections About the Contributors		500
